,Instrument,Company Common Name,Date,Price Close,Close Price
2090,BILI.O,,2020-12-11T00:00:00Z,75.91,75.91
2091,BILI.O,,2020-12-14T00:00:00Z,78.2,78.2
2092,BILI.O,,2020-12-15T00:00:00Z,76.66,76.66
2093,BILI.O,,2020-12-16T00:00:00Z,78.83,78.83
2094,BILI.O,,2020-12-17T00:00:00Z,82.19,82.19
2095,BILI.O,,2020-12-18T00:00:00Z,84.68,84.68
2096,BILI.O,,2020-12-21T00:00:00Z,87.61,87.61
2097,BILI.O,,2020-12-22T00:00:00Z,85.88,85.88
2098,BILI.O,,2020-12-23T00:00:00Z,82.78,82.78
2099,BILI.O,,2020-12-24T00:00:00Z,82.01,82.01
2100,BILI.O,,2020-12-28T00:00:00Z,81.38,81.38
2101,BILI.O,,2020-12-29T00:00:00Z,82.45,82.45
2102,BILI.O,,2020-12-30T00:00:00Z,94.35,94.35
2103,BILI.O,,2020-12-31T00:00:00Z,85.72,85.72
2104,BILI.O,,2021-01-04T00:00:00Z,94.74,94.74
2105,BILI.O,,2021-01-05T00:00:00Z,102.46,102.46
2106,BILI.O,,2021-01-06T00:00:00Z,105.6,105.6
2107,BILI.O,,2021-01-07T00:00:00Z,111.4,111.4
2108,BILI.O,,2021-01-08T00:00:00Z,118.47,118.47
2109,BILI.O,,2021-01-11T00:00:00Z,112.47,112.47
2110,BILI.O,,2021-01-12T00:00:00Z,115.44,115.44
2111,BILI.O,,2021-01-13T00:00:00Z,119.31,119.31
2112,BILI.O,,2021-01-14T00:00:00Z,123.22,123.22
2113,BILI.O,,2021-01-15T00:00:00Z,122.63,122.63
2114,BILI.O,,2021-01-19T00:00:00Z,127.88,127.88
2115,BILI.O,,2021-01-20T00:00:00Z,127.8,127.8
2116,BILI.O,,2021-01-21T00:00:00Z,123.88,123.88
2117,BILI.O,,2021-01-22T00:00:00Z,133.75,133.75
2118,BILI.O,,2021-01-25T00:00:00Z,134.27,134.27
2119,BILI.O,,2021-01-26T00:00:00Z,126.0,126.0
2120,BILI.O,,2021-01-27T00:00:00Z,120.43,120.43
2121,BILI.O,,2021-01-28T00:00:00Z,119.0,119.0
2122,BILI.O,,2021-01-29T00:00:00Z,113.89,113.89
2123,BILI.O,,2021-02-01T00:00:00Z,121.64,121.64
2124,BILI.O,,2021-02-02T00:00:00Z,129.98,129.98
2125,BILI.O,,2021-02-03T00:00:00Z,135.19,135.19
2126,BILI.O,,2021-02-04T00:00:00Z,142.57,142.57
2127,BILI.O,,2021-02-05T00:00:00Z,138.98,138.98
2128,BILI.O,,2021-02-08T00:00:00Z,144.04,144.04
