Date,Instrument,Close Price
2015-12-31,.CESIUSD,-31.8
2015-12-31,.CESIUSD,-31.8
2016-01-04,.CESIUSD,-34.4
2016-01-05,.CESIUSD,-34.8
2016-01-06,.CESIUSD,-29.3
2016-01-07,.CESIUSD,-29.8
2016-01-08,.CESIUSD,-21.3
2016-01-11,.CESIUSD,-22.6
2016-01-12,.CESIUSD,-24.1
2016-01-13,.CESIUSD,-24.7
2016-01-14,.CESIUSD,-26.3
2016-01-15,.CESIUSD,-33.8
2016-01-18,.CESIUSD,-34.2
2016-01-19,.CESIUSD,-35.2
2016-01-20,.CESIUSD,-45.1
2016-01-21,.CESIUSD,-45.7
2016-01-22,.CESIUSD,-43.5
2016-01-25,.CESIUSD,-40.7
2016-01-26,.CESIUSD,-39.4
2016-01-27,.CESIUSD,-33.3
2016-01-28,.CESIUSD,-47.3
2016-01-29,.CESIUSD,-47.1
2016-02-01,.CESIUSD,-50.5
2016-02-02,.CESIUSD,-50.5
2016-02-03,.CESIUSD,-54.2
2016-02-04,.CESIUSD,-55.7
2016-02-05,.CESIUSD,-55.7
2016-02-08,.CESIUSD,-53.5
2016-02-09,.CESIUSD,-52.6
2016-02-10,.CESIUSD,-51.6
2016-02-11,.CESIUSD,-48.9
2016-02-12,.CESIUSD,-48.3
2016-02-15,.CESIUSD,-43.9
2016-02-16,.CESIUSD,-46.9
2016-02-17,.CESIUSD,-47.4
2016-02-18,.CESIUSD,-44.8
2016-02-19,.CESIUSD,-37.0
2016-02-22,.CESIUSD,-33.7
2016-02-23,.CESIUSD,-35.9
2016-02-24,.CESIUSD,-38.6
2016-02-25,.CESIUSD,-30.7
2016-02-26,.CESIUSD,-21.4
2016-02-29,.CESIUSD,-19.4
2016-03-01,.CESIUSD,-12.7
2016-03-02,.CESIUSD,-10.1
2016-03-03,.CESIUSD,-12.3
2016-03-04,.CESIUSD,-12.9
2016-03-07,.CESIUSD,-11.8
2016-03-08,.CESIUSD,-13.0
2016-03-09,.CESIUSD,-12.8
2016-03-10,.CESIUSD,-9.8
2016-03-11,.CESIUSD,-9.3
2016-03-14,.CESIUSD,-7.5
2016-03-15,.CESIUSD,-5.1
2016-03-16,.CESIUSD,-3.4
2016-03-17,.CESIUSD,-0.3
2016-03-18,.CESIUSD,-0.2
2016-03-21,.CESIUSD,-2.9
2016-03-22,.CESIUSD,-4.1
2016-03-23,.CESIUSD,-3.7
2016-03-24,.CESIUSD,-10.7
2016-03-24,.CESIUSD,-10.7
2016-03-28,.CESIUSD,-4.9
2016-03-29,.CESIUSD,-3.8
2016-03-30,.CESIUSD,-3.4
2016-03-31,.CESIUSD,-5.2
2016-04-01,.CESIUSD,-4.4
2016-04-04,.CESIUSD,-6.1
2016-04-05,.CESIUSD,-6.7
2016-04-06,.CESIUSD,-7.6
2016-04-07,.CESIUSD,-6.6
2016-04-08,.CESIUSD,-6.0
2016-04-11,.CESIUSD,-3.5
2016-04-12,.CESIUSD,-3.8
2016-04-13,.CESIUSD,-4.8
2016-04-14,.CESIUSD,-8.2
2016-04-15,.CESIUSD,-12.2
2016-04-18,.CESIUSD,-9.3
2016-04-19,.CESIUSD,-21.9
2016-04-20,.CESIUSD,-21.8
2016-04-21,.CESIUSD,-22.5
2016-04-22,.CESIUSD,-25.1
2016-04-25,.CESIUSD,-25.1
2016-04-26,.CESIUSD,-28.0
2016-04-27,.CESIUSD,-27.8
2016-04-28,.CESIUSD,-29.8
2016-04-29,.CESIUSD,-31.2
2016-05-02,.CESIUSD,-31.7
2016-05-03,.CESIUSD,-31.4
2016-05-04,.CESIUSD,-28.4
2016-05-05,.CESIUSD,-30.7
2016-05-06,.CESIUSD,-36.7
2016-05-09,.CESIUSD,-37.1
2016-05-10,.CESIUSD,-34.6
2016-05-11,.CESIUSD,-34.6
2016-05-12,.CESIUSD,-38.5
2016-05-13,.CESIUSD,-33.0
2016-05-16,.CESIUSD,-36.2
2016-05-17,.CESIUSD,-30.6
2016-05-18,.CESIUSD,-31.7
2016-05-19,.CESIUSD,-30.6
2016-05-20,.CESIUSD,-30.8
2016-05-23,.CESIUSD,-32.8
2016-05-24,.CESIUSD,-22.0
2016-05-25,.CESIUSD,-23.3
2016-05-26,.CESIUSD,-20.4
2016-05-27,.CESIUSD,-22.8
2016-05-27,.CESIUSD,-22.8
2016-05-31,.CESIUSD,-18.6
2016-06-01,.CESIUSD,-17.1
2016-06-02,.CESIUSD,-16.4
2016-06-03,.CESIUSD,-25.4
2016-06-06,.CESIUSD,-24.9
2016-06-07,.CESIUSD,-25.2
2016-06-08,.CESIUSD,-24.4
2016-06-09,.CESIUSD,-23.2
2016-06-10,.CESIUSD,-23.0
2016-06-13,.CESIUSD,-22.9
2016-06-14,.CESIUSD,-22.3
2016-06-15,.CESIUSD,-22.9
2016-06-16,.CESIUSD,-21.6
2016-06-17,.CESIUSD,-19.9
2016-06-20,.CESIUSD,-17.2
2016-06-21,.CESIUSD,-16.0
2016-06-22,.CESIUSD,-16.0
2016-06-23,.CESIUSD,-19.0
2016-06-24,.CESIUSD,-23.8
2016-06-27,.CESIUSD,-23.3
2016-06-28,.CESIUSD,-20.5
2016-06-29,.CESIUSD,-20.1
2016-06-30,.CESIUSD,-19.8
2016-07-01,.CESIUSD,-14.3
2016-07-04,.CESIUSD,-12.6
2016-07-05,.CESIUSD,-13.4
2016-07-06,.CESIUSD,-7.1
2016-07-07,.CESIUSD,-3.1
2016-07-08,.CESIUSD,5.3
2016-07-11,.CESIUSD,9.6
2016-07-12,.CESIUSD,11.5
2016-07-13,.CESIUSD,13.0
2016-07-14,.CESIUSD,15.4
2016-07-15,.CESIUSD,21.9
2016-07-18,.CESIUSD,25.1
2016-07-19,.CESIUSD,27.9
2016-07-20,.CESIUSD,28.6
2016-07-21,.CESIUSD,32.8
2016-07-22,.CESIUSD,36.7
2016-07-25,.CESIUSD,38.6
2016-07-26,.CESIUSD,43.1
2016-07-27,.CESIUSD,37.2
2016-07-28,.CESIUSD,36.5
2016-07-29,.CESIUSD,16.3
2016-08-01,.CESIUSD,13.8
2016-08-02,.CESIUSD,15.8
2016-08-03,.CESIUSD,16.1
2016-08-04,.CESIUSD,17.8
2016-08-05,.CESIUSD,20.9
2016-08-08,.CESIUSD,19.1
2016-08-09,.CESIUSD,19.0
2016-08-10,.CESIUSD,17.4
2016-08-11,.CESIUSD,16.8
2016-08-12,.CESIUSD,10.9
2016-08-15,.CESIUSD,7.7
2016-08-16,.CESIUSD,6.0
2016-08-17,.CESIUSD,5.4
2016-08-18,.CESIUSD,5.3
2016-08-19,.CESIUSD,4.6
2016-08-22,.CESIUSD,1.9
2016-08-23,.CESIUSD,10.1
2016-08-24,.CESIUSD,10.2
2016-08-25,.CESIUSD,12.2
2016-08-26,.CESIUSD,11.1
2016-08-29,.CESIUSD,10.6
2016-08-30,.CESIUSD,12.1
2016-08-31,.CESIUSD,13.5
2016-09-01,.CESIUSD,4.8
2016-09-02,.CESIUSD,0.6
2016-09-05,.CESIUSD,0.0
2016-09-06,.CESIUSD,-7.0
2016-09-07,.CESIUSD,-5.7
2016-09-08,.CESIUSD,-4.8
2016-09-09,.CESIUSD,-4.9
2016-09-12,.CESIUSD,-4.9
2016-09-13,.CESIUSD,-5.8
2016-09-14,.CESIUSD,-6.0
2016-09-15,.CESIUSD,-9.5
2016-09-16,.CESIUSD,-3.0
2016-09-19,.CESIUSD,3.3
2016-09-20,.CESIUSD,-1.7
2016-09-21,.CESIUSD,-1.4
2016-09-22,.CESIUSD,-5.9
2016-09-23,.CESIUSD,-4.4
2016-09-26,.CESIUSD,-5.4
2016-09-27,.CESIUSD,-5.2
2016-09-28,.CESIUSD,-5.1
2016-09-29,.CESIUSD,-3.4
2016-09-30,.CESIUSD,-5.1
2016-10-03,.CESIUSD,-5.6
2016-10-04,.CESIUSD,-6.9
2016-10-05,.CESIUSD,0.8
2016-10-06,.CESIUSD,1.8
2016-10-07,.CESIUSD,-2.0
2016-10-10,.CESIUSD,-2.9
2016-10-11,.CESIUSD,-5.2
2016-10-12,.CESIUSD,-7.8
2016-10-13,.CESIUSD,-6.6
2016-10-14,.CESIUSD,-7.6
2016-10-17,.CESIUSD,-9.7
2016-10-18,.CESIUSD,-16.7
