,Default Spread (BofA High Yield OAS)
2007-06,2.53
2007-06,2.49
2007-06,2.51
2007-06,2.52
2007-06,2.6
2007-06,2.59
2007-06,2.66
2007-06,2.69
2007-06,2.8
2007-06,2.79
2007-06,2.88
2007-06,2.83
2007-06,2.89
2007-06,2.98
2007-07,3.03
2007-07,2.99
2007-07,2.99
2007-07,2.92
2007-07,2.9
2007-07,2.93
2007-07,3.12
2007-07,3.16
2007-07,3.08
2007-07,3.06
2007-07,3.07
2007-07,3.05
2007-07,3.2
2007-07,3.2
2007-07,3.37
2007-07,3.44
2007-07,3.61
2007-07,3.71
2007-07,4.13
2007-07,4.28
2007-07,4.24
2007-07,4.19
2007-08,4.28
2007-08,4.18
2007-08,4.24
2007-08,4.28
2007-08,4.2
2007-08,3.93
2007-08,4.04
2007-08,4.12
2007-08,4.08
2007-08,4.16
2007-08,4.27
2007-08,4.59
2007-08,4.48
2007-08,4.5
2007-08,4.53
2007-08,4.42
2007-08,4.34
2007-08,4.29
2007-08,4.3
2007-08,4.44
2007-08,4.43
2007-08,4.48
2007-08,4.55
2007-09,4.55
2007-09,4.53
2007-09,4.6
2007-09,4.56
2007-09,4.73
2007-09,4.79
2007-09,4.74
2007-09,4.69
2007-09,4.57
2007-09,4.58
2007-09,4.52
2007-09,4.46
2007-09,4.3
2007-09,4.21
2007-09,4.16
2007-09,4.1
2007-09,4.17
2007-09,4.14
2007-09,4.15
2007-09,4.16
2007-09,4.2
2007-10,4.19
2007-10,4.2
2007-10,4.16
2007-10,4.15
2007-10,4.02
2007-10,4.02
2007-10,3.95
2007-10,3.91
2007-10,3.86
2007-10,3.83
2007-10,3.81
2007-10,3.91
2007-10,4.07
2007-10,4.2
2007-10,4.36
2007-10,4.39
2007-10,4.34
2007-10,4.42
2007-10,4.4
2007-10,4.39
2007-10,4.38
2007-10,4.38
2007-10,4.36
2007-11,4.53
2007-11,4.65
2007-11,4.69
2007-11,4.66
2007-11,4.76
2007-11,4.91
2007-11,5.02
2007-11,5.02
2007-11,5.07
2007-11,5.04
2007-11,5.25
2007-11,5.37
2007-11,5.61
2007-11,5.71
2007-11,5.87
2007-11,5.87
2007-11,5.8
2007-11,5.92
2007-11,5.88
2007-11,5.73
2007-11,5.73
2007-11,5.75
2007-12,5.82
2007-12,5.89
2007-12,5.86
2007-12,5.78
2007-12,5.63
2007-12,5.55
2007-12,5.68
2007-12,5.61
2007-12,5.58
2007-12,5.54
2007-12,5.58
2007-12,5.66
2007-12,5.71
2007-12,5.79
2007-12,5.68
2007-12,5.65
2007-12,
2007-12,5.59
2007-12,5.64
2007-12,5.73
2007-12,5.92
2008-01,
2008-01,6.1
2008-01,6.17
2008-01,6.36
2008-01,6.45
2008-01,6.51
2008-01,6.73
2008-01,6.63
2008-01,6.68
2008-01,6.66
2008-01,6.74
2008-01,6.83
2008-01,6.99
2008-01,7.04
2008-01,7.05
2008-01,7.39
2008-01,7.48
2008-01,7.12
2008-01,6.99
2008-01,7.03
2008-01,6.85
2008-01,6.78
2008-01,6.95
2008-02,6.96
2008-02,6.92
2008-02,7.06
2008-02,7.09
2008-02,7.1
2008-02,7.25
2008-02,7.37
2008-02,7.37
2008-02,7.38
2008-02,7.25
2008-02,7.3
2008-02,7.3
2008-02,7.25
2008-02,7.25
2008-02,7.35
2008-02,7.35
2008-02,7.21
2008-02,7.17
2008-02,7.18
2008-02,7.37
2008-02,7.67
2008-03,7.75
2008-03,7.76
2008-03,7.68
2008-03,7.79
2008-03,7.92
2008-03,8.08
2008-03,7.95
2008-03,8.13
2008-03,8.27
2008-03,8.38
2008-03,8.62
2008-03,8.39
2008-03,8.37
2008-03,8.4
2008-03,
2008-03,8.07
2008-03,7.97
2008-03,7.99
2008-03,7.94
2008-03,7.99
2008-03,8.21
2008-04,8.02
2008-04,7.86
2008-04,7.78
2008-04,7.76
2008-04,7.54
2008-04,7.58
2008-04,7.71
2008-04,7.7
2008-04,7.76
2008-04,7.74
2008-04,7.65
2008-04,7.46
2008-04,7.36
2008-04,7.15
2008-04,7.13
2008-04,7.07
2008-04,7.05
2008-04,6.92
2008-04,6.84
2008-04,6.85
2008-04,6.86
2008-04,6.86
2008-05,6.81
2008-05,6.64
2008-05,6.65
2008-05,6.7
2008-05,6.72
2008-05,6.83
2008-05,6.9
2008-05,6.9
2008-05,6.76
2008-05,6.65
2008-05,6.69
2008-05,6.63
2008-05,6.6
2008-05,6.68
2008-05,6.64
2008-05,6.59
2008-05,6.7
2008-05,6.7
2008-05,6.72
2008-05,6.61
2008-05,6.55
2008-05,6.57
2008-05,6.53
2008-06,6.67
2008-06,6.78
2008-06,6.79
2008-06,6.63
2008-06,6.68
2008-06,6.58
2008-06,6.49
2008-06,6.56
2008-06,6.43
2008-06,6.39
2008-06,6.37
2008-06,6.4
2008-06,6.53
2008-06,6.53
2008-06,6.7
2008-06,6.76
2008-06,7.01
2008-06,7.02
2008-06,7.27
2008-06,7.41
2008-06,7.35
2008-07,7.48
2008-07,7.53
2008-07,7.63
2008-07,7.63
2008-07,7.76
2008-07,7.87
2008-07,7.82
2008-07,7.9
2008-07,7.88
2008-07,7.89
2008-07,8.06
2008-07,8.01
2008-07,7.79
2008-07,7.67
2008-07,7.58
2008-07,7.6
2008-07,7.46
2008-07,7.64
2008-07,7.6
2008-07,7.79
2008-07,7.82
2008-07,7.81
2008-07,8.0
2008-08,8.13
2008-08,8.14
2008-08,8.11
2008-08,8.05
2008-08,8.16
2008-08,8.14
2008-08,8.07
2008-08,8.11
2008-08,8.09
2008-08,8.11
2008-08,8.12
2008-08,8.17
2008-08,8.23
2008-08,8.3
2008-08,8.29
2008-08,8.25
2008-08,8.32
2008-08,8.32
2008-08,8.34
2008-08,8.29
2008-08,8.28
2008-08,8.36
2008-09,8.36
2008-09,8.42
2008-09,8.48
2008-09,8.55
2008-09,8.55
2008-09,8.46
2008-09,8.53
2008-09,8.55
2008-09,8.62
2008-09,8.54
2008-09,9.05
2008-09,9.29
2008-09,9.64
2008-09,9.83
2008-09,9.21
2008-09,9.21
2008-09,9.39
2008-09,9.67
2008-09,9.87
2008-09,10.25
2008-09,10.75
2008-09,10.96
2008-10,11.24
2008-10,12.0
2008-10,12.24
2008-10,13.07
2008-10,13.18
2008-10,13.51
2008-10,13.91
2008-10,15.36
2008-10,15.38
2008-10,14.5
2008-10,15.14
2008-10,15.72
2008-10,15.95
2008-10,15.76
2008-10,15.87
2008-10,16.05
2008-10,16.34
2008-10,16.69
2008-10,16.81
2008-10,16.67
2008-10,16.21
2008-10,15.91
2008-10,16.17
2008-11,16.29
2008-11,16.18
2008-11,16.08
2008-11,16.19
2008-11,16.31
2008-11,16.35
2008-11,16.36
2008-11,16.84
2008-11,17.06
2008-11,17.16
2008-11,17.43
2008-11,17.96
2008-11,18.61
2008-11,19.48
2008-11,19.92
2008-11,19.87
2008-11,19.86
2008-11,19.76
2008-11,19.77
2008-11,19.78
2008-11,19.88
2008-12,20.2
2008-12,20.19
2008-12,20.39
2008-12,20.54
2008-12,20.74
2008-12,20.62
2008-12,20.59
2008-12,20.66
2008-12,20.92
2008-12,21.3
2008-12,21.82
2008-12,21.44
2008-12,21.06
2008-12,20.72
2008-12,20.43
2008-12,20.18
2008-12,19.82
2008-12,19.79
2008-12,
2008-12,19.55
2008-12,19.25
2008-12,18.48
2008-12,18.12
2009-01,
2009-01,17.84
2009-01,17.44
2009-01,16.68
2009-01,16.42
2009-01,16.67
2009-01,16.65
2009-01,16.67
2009-01,16.82
2009-01,16.86
2009-01,16.97
2009-01,16.79
2009-01,16.81
2009-01,16.79
2009-01,16.71
2009-01,16.69
2009-01,16.73
2009-01,16.74
2009-01,16.76
2009-01,16.4
2009-01,16.22
2009-01,16.22
2009-01,16.26
2009-02,16.4
2009-02,16.3
2009-02,16.15
2009-02,16.13
2009-02,16.05
2009-02,15.98
2009-02,16.07
2009-02,16.17
2009-02,16.27
2009-02,16.21
2009-02,16.06
2009-02,16.45
2009-02,16.59
2009-02,16.48
2009-02,16.76
2009-02,16.85
2009-02,17.22
2009-02,17.17
2009-02,17.18
2009-02,17.39
2009-02,17.38
2009-03,17.84
2009-03,18.09
2009-03,18.28
2009-03,18.59
2009-03,18.66
2009-03,18.86
2009-03,18.71
2009-03,18.38
2009-03,18.29
2009-03,18.04
2009-03,17.63
2009-03,17.58
2009-03,17.97
2009-03,17.74
2009-03,17.74
2009-03,17.56
2009-03,17.45
2009-03,17.26
2009-03,17.09
2009-03,16.75
2009-03,16.89
2009-03,17.03
2009-04,17.12
2009-04,16.78
2009-04,16.53
2009-04,16.43
2009-04,16.44
2009-04,16.36
2009-04,16.19
2009-04,
2009-04,16.16
2009-04,15.85
2009-04,15.74
2009-04,15.44
2009-04,15.05
2009-04,15.17
2009-04,15.35
2009-04,15.27
2009-04,15.17
2009-04,14.87
2009-04,14.91
2009-04,14.79
2009-04,14.46
2009-04,13.45
2009-05,13.34
2009-05,13.23
2009-05,13.08
2009-05,12.94
2009-05,12.54
2009-05,12.41
2009-05,12.58
2009-05,12.64
2009-05,12.85
2009-05,12.91
2009-05,12.91
2009-05,12.82
2009-05,12.67
2009-05,12.45
2009-05,12.32
2009-05,12.13
2009-05,12.15
2009-05,12.09
2009-05,11.87
2009-05,11.74
2009-05,11.76
2009-05,11.7
2009-06,11.36
2009-06,11.19
2009-06,11.17
2009-06,11.01
2009-06,10.7
2009-06,10.6
2009-06,10.59
2009-06,10.42
2009-06,10.43
2009-06,10.41
2009-06,10.4
2009-06,10.48
2009-06,10.73
2009-06,10.74
2009-06,10.75
2009-06,10.93
2009-06,11.03
2009-06,11.01
2009-06,11.09
2009-06,11.09
2009-06,11.05
2009-06,10.55
2009-07,10.5
2009-07,10.52
2009-07,10.52
2009-07,10.61
2009-07,10.63
2009-07,10.84
2009-07,10.79
2009-07,10.89
2009-07,10.92
2009-07,10.76
2009-07,10.52
2009-07,10.57
2009-07,10.41
2009-07,10.37
2009-07,10.29
2009-07,10.18
2009-07,9.88
2009-07,9.8
2009-07,9.66
2009-07,9.56
2009-07,9.44
2009-07,9.33
2009-07,9.22
2009-08,8.99
2009-08,8.88
2009-08,8.77
2009-08,8.73
2009-08,8.57
2009-08,8.58
2009-08,8.64
2009-08,8.78
2009-08,8.91
2009-08,8.94
2009-08,9.17
2009-08,9.19
2009-08,9.25
2009-08,9.27
2009-08,9.13
2009-08,9.14
2009-08,9.12
2009-08,9.11
2009-08,9.07
2009-08,9.04
2009-08,9.12
2009-09,9.18
