Date,MOVE
2007-01,57.2
2007-01,57.5
2007-01,60.75
2007-01,60.3
2007-01,60.0
2007-01,61.9
2007-01,61.6
2007-02,61.3
2007-02,56.1
2007-02,54.9
2007-02,56.3
2007-02,60.5
2007-02,58.9
2007-02,60.1
2007-02,60.0
2007-02,59.8
2007-02,59.8
2007-02,61.1
2007-02,60.7
2007-02,60.7
2007-02,60.9
2007-02,57.8
2007-02,57.5
2007-02,57.8
2007-02,61.6
2007-02,70.3
2007-02,69.8
2007-03,72.9
2007-03,76.7
2007-03,74.5
2007-03,67.1
2007-03,71.3
2007-03,69.8
2007-03,63.6
2007-03,65.3
2007-03,72.2
2007-03,69.7
2007-03,67.9
2007-03,67.0
2007-03,66.0
2007-03,66.0
2007-03,66.2
2007-03,67.2
2007-03,68.7
2007-03,68.2
2007-03,69.7
2007-03,69.9
2007-03,65.9
2007-03,67.9
2007-04,65.9
2007-04,63.8
2007-04,66.1
2007-04,64.0
2007-04,64.0
2007-04,58.3
2007-04,60.2
2007-04,58.7
2007-04,57.9
2007-04,57.8
2007-04,58.7
2007-04,59.3
2007-04,59.2
2007-04,59.4
2007-04,59.1
2007-04,57.8
2007-04,58.8
2007-04,57.8
2007-04,58.7
2007-04,57.8
2007-04,59.8
2007-05,58.9
2007-05,61.1
2007-05,60.8
2007-05,57.1
2007-05,54.5
2007-05,54.3
2007-05,53.3
2007-05,52.8
2007-05,52.4
2007-05,52.5
2007-05,51.2
2007-05,51.6
2007-05,52.7
2007-05,56.7
2007-05,55.4
2007-05,54.6
2007-05,56.0
2007-05,56.5
2007-05,56.9
2007-05,56.9
2007-05,56.5
2007-05,57.6
2007-05,58.9
2007-06,58.0
2007-06,54.7
2007-06,55.3
2007-06,58.9
2007-06,70.8
2007-06,79.1
2007-06,69.5
2007-06,85.2
2007-06,84.6
2007-06,78.3
2007-06,70.6
2007-06,68.1
2007-06,68.4
2007-06,71.4
2007-06,76.3
2007-06,76.3
2007-06,79.0
2007-06,77.2
2007-06,79.4
2007-06,75.5
2007-06,77.5
2007-07,76.0
2007-07,73.5
2007-07,73.5
2007-07,76.5
2007-07,74.4
2007-07,74.4
2007-07,78.1
2007-07,77.0
2007-07,75.5
2007-07,73.1
2007-07,71.1
2007-07,69.8
2007-07,71.4
2007-07,68.9
2007-07,72.2
2007-07,75.3
2007-07,76.7
2007-07,78.4
2007-07,93.5
2007-07,92.6
2007-07,97.9
2007-07,96.4
2007-08,94.3
2007-08,92.0
2007-08,95.4
2007-08,97.5
2007-08,86.9
2007-08,92.9
2007-08,118.5
2007-08,116.4
2007-08,111.7
2007-08,106.8
2007-08,102.7
2007-08,109.8
2007-08,106.9
2007-08,109.5
2007-08,114.4
2007-08,112.6
2007-08,111.4
2007-08,104.4
2007-08,103.9
2007-08,106.6
2007-08,107.5
2007-08,110.3
2007-08,111.0
2007-08,111.0
2007-09,110.24
2007-09,113.5
2007-09,110.5
2007-09,116.9
2007-09,120.4
2007-09,123.5
2007-09,124.5
2007-09,122.1
2007-09,123.4
2007-09,121.6
2007-09,114.4
2007-09,106.25
2007-09,118.8
2007-09,103.2
2007-09,102.8
2007-09,106.5
2007-09,104.9
2007-09,103.3
2007-09,103.7
2007-10,104.9
2007-10,103.6
2007-10,101.8
2007-10,102.0
2007-10,98.1
2007-10,98.1
2007-10,91.4
2007-10,86.6
2007-10,82.4
2007-10,79.6
2007-10,79.3
2007-10,82.8
2007-10,93.5
2007-10,92.3
2007-10,95.8
2007-10,97.4
2007-10,96.3
2007-10,104.9
2007-10,103.8
2007-10,102.04
2007-10,99.1
2007-10,96.34
2007-10,90.18
2007-11,100.25
2007-11,103.64
2007-11,102.56
2007-11,98.4
2007-11,107.98
2007-11,112.08
2007-11,112.08
2007-11,112.08
2007-11,102.5
2007-11,95.36
2007-11,102.22
2007-11,99.14
2007-11,101.04
2007-11,109.2
2007-11,112.2
2007-11,112.2
2007-11,112.1
2007-11,126.9
2007-11,133.4
2007-11,127.4
2007-11,133.6
2007-11,131.5
2007-12,136.11
2007-12,141.7
2007-12,140.4
2007-12,138.5
2007-12,139.96
2007-12,126.89
2007-12,140.6
2007-12,142.8
2007-12,139.2
2007-12,139.38
2007-12,138.73
2007-12,141.5
2007-12,147.83
2007-12,154.7
2007-12,145.5
2007-12,144.0
2007-12,144.0
2007-12,141.3
2007-12,140.9
2007-12,144.0
2007-12,145.4
2007-12,145.4
2008-01,148.7
2008-01,145.6
2008-01,138.1
2008-01,130.9
2008-01,124.0
2008-01,128.0
2008-01,125.3
2008-01,130.9
2008-01,130.56
2008-01,131.9
2008-01,133.0
2008-01,135.1
2008-01,137.1
2008-01,137.1
2008-01,147.3
2008-01,165.1
2008-01,171.7
2008-01,178.8
2008-01,170.2
2008-01,161.8
2008-01,146.71
2008-01,153.7
2008-02,144.7
2008-02,142.0
2008-02,145.9
2008-02,146.2
2008-02,150.4
2008-02,153.0
2008-02,149.8
