,0
2015-09-25,0.3948
2015-10-02,0.6647
2015-10-09,0.0516
2015-10-16,0.1294
2015-10-23,0.0054
2015-10-30,-0.0314
2015-11-06,-0.1095
2015-11-13,0.1015
2015-11-20,0.0789
2015-11-27,0.024
2015-12-04,0.1017
2015-12-11,0.4307
2015-12-18,0.5069
2015-12-25,0.3529
2016-01-01,0.2905
2016-01-08,0.6737
2016-01-15,0.8388
2016-01-22,0.9507
2016-01-29,0.513
2016-02-05,0.688
2016-02-12,1.2196
2016-02-19,0.5434
2016-02-26,0.5266
2016-03-04,0.2113
2016-03-11,0.2473
2016-03-18,0.1381
2016-03-25,0.1422
2016-04-01,0.3587
2016-04-08,0.3163
2016-04-15,0.072
2016-04-22,-0.0427
2016-04-29,0.0471
2016-05-06,0.2489
2016-05-13,0.1594
2016-05-20,0.0522
2016-05-27,-0.0249
2016-06-03,0.1072
2016-06-10,0.1371
2016-06-17,0.5427
2016-06-24,0.2322
2016-07-01,0.5631
2016-07-08,0.1906
2016-07-15,-0.1197
2016-07-22,0.0719
2016-07-29,0.2171
2016-08-05,0.3357
2016-08-12,0.1951
2016-08-19,0.1752
2016-08-26,0.2512
2016-09-02,0.264
2016-09-09,0.2752
2016-09-16,0.4744
2016-09-23,0.3145
2016-09-30,0.2958
2016-10-07,0.0704
2016-10-14,0.204
2016-10-21,0.1651
2016-10-28,0.0884
2016-11-04,0.4704
2016-11-11,-0.0326
2016-11-18,-0.0616
2016-11-25,-0.1336
2016-12-02,-0.0241
2016-12-09,-0.2709
2016-12-16,-0.1738
2016-12-23,-0.1146
2016-12-30,-0.0703
2017-01-06,-0.0973
2017-01-13,-0.1192
2017-01-20,-0.1001
2017-01-27,-0.2202
2017-02-03,-0.1471
2017-02-10,-0.1729
2017-02-17,-0.3148
2017-02-24,-0.2313
2017-03-03,-0.4116
2017-03-10,-0.4385
2017-03-17,-0.388
2017-03-24,-0.2359
2017-03-31,-0.4216
2017-04-07,-0.3989
2017-04-14,-0.2664
2017-04-21,-0.2595
2017-04-28,-0.5949
2017-05-05,-0.5186
2017-05-12,-0.6328
2017-05-19,-0.482
2017-05-26,-0.6683
2017-06-02,-0.6325
2017-06-09,-0.722
2017-06-16,-0.7284
2017-06-23,-0.5051
2017-06-30,-0.5796
2017-07-07,-0.6332
2017-07-14,-0.5757
2017-07-21,-0.6876
2017-07-28,-0.7422
2017-08-04,-0.6316
2017-08-11,-0.4783
2017-08-18,-0.4546
2017-08-25,-0.4726
2017-09-01,-0.5181
2017-09-08,-0.4296
2017-09-15,-0.6901
2017-09-22,-0.7374
2017-09-29,-0.6847
2017-10-06,-0.7228
2017-10-13,-0.6859
2017-10-20,-0.752
2017-10-27,-0.7721
2017-11-03,-0.7171
2017-11-10,-0.7182
2017-11-17,-0.6877
2017-11-24,-0.834
2017-12-01,-0.7924
2017-12-08,-0.7254
2017-12-15,-0.6628
2017-12-22,-0.6264
2017-12-29,-0.5198
2018-01-05,-0.6396
2018-01-12,-0.7141
2018-01-19,-0.6585
2018-01-26,-0.6663
2018-02-02,-0.5129
2018-02-09,0.0989
2018-02-16,-0.2638
2018-02-23,-0.3595
2018-03-02,-0.0881
2018-03-09,-0.1104
2018-03-16,-0.0396
2018-03-23,0.2436
2018-03-30,0.3172
2018-04-06,0.3138
2018-04-13,0.1249
2018-04-20,-0.0732
2018-04-27,-0.0291
2018-05-04,0.0116
2018-05-11,-0.2346
2018-05-18,-0.307
2018-05-25,-0.2449
2018-06-01,0.048
2018-06-08,-0.3971
2018-06-15,-0.3378
2018-06-22,-0.281
2018-06-29,-0.0799
2018-07-06,-0.2137
2018-07-13,-0.4439
2018-07-20,-0.4691
2018-07-27,-0.5532
2018-08-03,-0.4531
2018-08-10,-0.5463
2018-08-17,-0.4316
2018-08-24,-0.65
2018-08-31,-0.6777
2018-09-07,-0.5971
2018-09-14,-0.7352
2018-09-21,-0.8413
2018-09-28,-0.7747
2018-10-05,-0.7909
2018-10-12,-0.4445
2018-10-19,-0.5232
2018-10-26,-0.2187
2018-11-02,-0.2417
2018-11-09,-0.4908
2018-11-16,-0.0293
2018-11-23,0.0484
2018-11-30,-0.1556
2018-12-07,0.176
2018-12-14,0.2392
2018-12-21,0.5155
2018-12-28,0.6487
2019-01-04,0.2861
2019-01-11,-0.1969
2019-01-18,-0.1615
2019-01-25,-0.1379
2019-02-01,-0.1571
2019-02-08,-0.3012
2019-02-15,-0.3688
2019-02-22,-0.5328
2019-03-01,-0.5945
2019-03-08,-0.4782
2019-03-15,-0.5787
2019-03-22,-0.5892
2019-03-29,-0.3286
2019-04-05,-0.6844
2019-04-12,-0.6656
2019-04-19,-0.7837
2019-04-26,-0.6432
2019-05-03,-0.6824
2019-05-10,-0.393
2019-05-17,-0.3683
2019-05-24,-0.4892
2019-05-31,-0.1969
2019-06-07,-0.2178
2019-06-14,-0.4446
2019-06-21,-0.354
2019-06-28,-0.351
2019-07-05,-0.5382
2019-07-12,-0.4672
2019-07-19,-0.3748
2019-07-26,-0.502
2019-08-02,-0.2769
2019-08-09,0.2325
2019-08-16,0.1796
2019-08-23,-0.1076
2019-08-30,-0.0661
2019-09-06,-0.1126
2019-09-13,-0.3679
2019-09-20,-0.1675
2019-09-27,0.0883
2019-10-04,0.3477
2019-10-11,0.1191
2019-10-18,-0.1537
2019-10-25,-0.1467
2019-11-01,-0.0821
2019-11-08,-0.1166
2019-11-15,-0.121
2019-11-22,-0.0671
2019-11-29,-0.2076
2019-12-06,-0.1097
2019-12-13,-0.2841
2019-12-20,-0.3809
2019-12-27,-0.1963
2020-01-03,-0.2431
2020-01-10,-0.3691
2020-01-17,-0.5349
2020-01-24,-0.4239
2020-01-31,-0.1386
2020-02-07,-0.4795
2020-02-14,-0.5852
2020-02-21,-0.4612
2020-02-28,0.6393
2020-03-06,1.3084
2020-03-13,3.4364
2020-03-20,5.5567
2020-03-27,5.3032
2020-04-03,3.1361
2020-04-10,2.5845
2020-04-17,1.8648
2020-04-24,2.3738
2020-05-01,1.2185
2020-05-08,0.9184
2020-05-15,0.89
2020-05-22,0.4121
2020-05-29,0.1868
2020-06-05,-0.1049
2020-06-12,0.2549
2020-06-19,0.4559
2020-06-26,0.4821
2020-07-03,0.3953
2020-07-10,0.1002
2020-07-17,0.0539
2020-07-24,-0.2325
2020-07-31,-0.0861
2020-08-07,-0.2136
2020-08-14,-0.2793
2020-08-21,-0.0808
2020-08-28,-0.2793
2020-09-04,-0.1297
2020-09-11,0.0375
2020-09-18,-0.142
2020-09-25,0.2353
2020-10-02,-0.0862
2020-10-09,-0.2477
2020-10-16,-0.0992
2020-10-23,-0.0046
2020-10-30,0.3691
2020-11-06,-0.0844
2020-11-13,-0.4856
2020-11-20,-0.1683
2020-11-27,-0.4043
