"","Estimate","Std..Error","t.value","Pr...t.."
"m103",16.797138,0.59483,28.238546,0
"theta103",-0.059246,0.002307,-25.680227,0
"w2103",1.001,0.382769,2.615154,0.008919
"alpha102",0.000568,0.00007,8.121849,0
"gamma102",0.063954,0.005027,12.721794,0
"beta102",0.965916,0.00252,383.297899,0
"m102",15.374014,0.221087,69.538281,0
"theta102",0.030439,0.000531,57.359547,0
"w2102",1.259598,0.299592,4.204382,0.000026
"alpha101",0.034745,0.001603,21.669514,0
"gamma101",1.803987,0.049475,36.462874,0
"beta101",0.016473,0.021173,0.778017,0.436559
"m101",17.378306,0.075212,231.058801,0
"theta101",-0.067727,0.008638,-7.840968,0
"w2101",1.001,0.096788,10.342174,0
"alpha100",0.011596,0.015098,0.767996,0.442489
"gamma100",-0.172485,24.52782,-0.007032,0.994389
"beta100",0.001002,0.099636,0.010058,0.991975
"m100",18.112346,9.052274,2.000862,0.045407
"theta100",-5.256362,7.037174,-0.746942,0.455099
"w2100",1.117138,1.422909,0.785108,0.43239
"alpha99",0.031647,0.004327,7.314301,0
"gamma99",1.868516,0.24297,7.690311,0
"beta99",0.001295,0.134732,0.009615,0.992329
"m99",14.882304,0.144594,102.925043,0
"theta99",0.404389,0.007818,51.725087,0
"w299",1.939188,0.061435,31.565012,0
"alpha98",0.036623,0.003101,11.811084,0
"gamma98",1.883307,0.158415,11.888447,0
"beta98",0.001057,0.078206,0.013517,0.989216
"m98",17.020222,0.140888,120.806895,0
"theta98",-0.480261,0.061156,-7.85311,0
"w298",1.083664,0.051524,21.032169,0
"alpha97",0.000142,0.000006,23.745334,0
"gamma97",0.005438,0.000375,14.506861,0
"beta97",0.996139,0.000147,6758.840059,0
"m97",15.977976,0.071245,224.267227,0
"theta97",3.93568,0.422206,9.321705,0
"w297",1.805329,0.159172,11.341974,0
"alpha96",0.028405,0.007915,3.588812,0.000332
"gamma96",1.839675,0.511312,3.597948,0.000321
"beta96",0.001157,0.270778,0.004274,0.99659
"m96",13.473862,0.142712,94.413093,0
"theta96",0.173969,0.004689,37.100099,0
"w296",1.444979,0.085715,16.857959,0
"alpha95",0.007,0.00055,12.731643,0
"gamma95",0.461312,0.02799,16.481367,0
"beta95",0.761344,0.014524,52.4182,0
"m95",16.226204,0.165377,98.116465,0
"theta95",0.173444,0.00596,29.099773,0
"w295",1.678887,0.067361,24.923713,0
"alpha94",0.006972,0.000636,10.963141,0
"gamma94",0.407671,0.032333,12.608565,0
"beta94",0.788192,0.016781,46.97065,0
"m94",18.642822,0.125445,148.613419,0
"theta94",-1.623725,0.068709,-23.632079,0
"w294",1.175985,0.081451,14.437973,0
"alpha93",0.003607,0.001513,2.383956,0.017128
"gamma93",0.230433,0.096155,2.396472,0.016554
"beta93",0.875636,0.05128,17.075509,0
"m93",17.916288,0.413479,43.3306,0
"theta93",5.546739,0.203722,27.227054,0
"w293",1.457191,0.216691,6.724733,0
"alpha92",0.032307,0.002141,15.087286,0
"gamma92",1.910773,0.127956,14.933095,0
"beta92",0.001075,0.066913,0.016068,0.98718
"m92",18.359972,0.242358,75.755729,0
"theta92",2.505597,0.279371,8.968708,0
"w292",1.001,0.131303,7.623602,0
"alpha91",0.018515,0.034457,0.537323,0.591044
