,AAL,AAL,AAL,AAL,AAL,AAL,AAL,CAR,CAR,CAR,CAR,CAR,CAR,CAR,GNRC,GNRC,GNRC,GNRC,GNRC,GNRC,GNRC,ALB,ALB,ALB,ALB,ALB,ALB,ALB,BA,BA,BA,BA,BA,BA,BA
,CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL)
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,876.0,25175.0,4503.0,5469.0,-347.0,0.16017553483269337,0.1766319253976961,1969.0,11318.0,726.0,1261.0,-121.0,1.5614591593973037,0.42426645519429024,5.186,1326.214,114.463,172.625,-515.766,0.030041998551774078,0.33692686459087623,99.736,2872.717,364.496,517.725,13.111,0.19264281230382926,0.29596600511854754,1674.0,53779.0,10797.0,12664.0,-86.0,0.13218572331017056,0.1474257738471257
2009-03-31,169.0,24518.0,4070.0,4839.0,-375.0,0.03492457119239512,0.15891713163876833,-662.0,10255.0,647.0,1194.0,-49.0,-0.5544388609715243,0.4581239530988275,,,91.004,140.446,5.794,,0.3520356578329037,33.068,2685.089,370.31,486.591,25.399,0.06795851135758778,0.23897071667992217,442.0,55340.0,13314.0,16502.0,610.0,0.026784632165798086,0.19318870439946673
2009-06-30,602.0,24138.0,4140.0,4889.0,-390.0,0.12313356514624668,0.15320106361219063,-3.0,10809.0,656.0,1312.0,-6.0,-0.0022865853658536584,0.5,,,87.449,149.577,10.997,,0.41535797615943626,60.459,2660.908,310.852,445.299,38.493,0.13577169497348973,0.30192522327694427,736.0,57712.0,13383.0,17154.0,998.0,0.04290544479421709,0.21983210912906612
2009-09-30,1103.0,25754.0,4303.0,5127.0,-359.0,0.21513555685586114,0.16071776867563878,-386.0,9962.0,736.0,1465.0,57.0,-0.26348122866894197,0.4976109215017065,2.902,1346.326,77.807,144.261,14.316,0.020116316953299924,0.460651180845828,83.61,2780.148,357.062,515.276,52.131,0.1622625544368455,0.30704709708971495,965.0,58667.0,14004.0,16688.0,-1564.0,0.05782598274209012,0.1608341323106424
2009-12-31,1521.0,25438.0,4325.0,5062.0,-344.0,0.3004741209008297,0.14559462662979059,-330.0,10093.0,643.0,1160.0,-49.0,-0.28448275862068967,0.44568965517241377,4.525,1337.243,88.423,153.964,11.948,0.029389987269751373,0.42569042113740874,100.786,2771.557,382.795,558.228,62.345,0.1805463000781043,0.3142676469112978,1186.0,62053.0,13998.0,17937.0,1268.0,0.06612030997379718,0.21960194012376652
2010-03-31,317.0,25525.0,4360.0,5068.0,-505.0,0.06254932912391475,0.13970007892659828,662.0,10257.0,627.0,1153.0,-38.0,0.5741543798785776,0.4562012142237641,1.564,1204.722,77.409,130.718,2.468,0.0119646873422176,0.40781682706283745,16.141,2756.888,391.098,580.27,63.308,0.027816361349027176,0.3260068588760404,186.0,62970.0,11698.0,15216.0,519.0,0.01222397476340694,0.23120399579390116
2010-06-30,729.0,25885.0,4575.0,5674.0,-11.0,0.12848078956644343,0.1936905181529785,2344.0,11698.0,642.0,1293.0,26.0,1.8128383604021656,0.5034802784222738,3.035,1236.427,83.772,140.455,12.834,0.02160834430956534,0.4035669787476416,33.93,2731.07,380.606,592.483,81.751,0.05726746590197525,0.3576085727354202,443.0,63755.0,12050.0,15573.0,787.0,0.02844667051948886,0.22622487638862132
2010-09-30,1412.0,25357.0,4567.0,5842.0,143.0,0.24169804861348854,0.21824717562478604,2143.0,10701.0,711.0,1513.0,90.0,1.4163912756113681,0.5300727032385988,4.324,1279.159,91.356,160.666,22.998,0.026912974742633787,0.43139183150137556,50.006,2936.66,365.138,585.036,93.689,0.08547508187530341,0.37587088657791995,725.0,65222.0,13288.0,16967.0,837.0,0.04273000530441445,0.21683267519302174
2010-12-31,1962.0,25088.0,4538.0,5586.0,-98.0,0.35123523093447906,0.18761188686000715,1773.0,10327.0,669.0,1226.0,-24.0,1.4461663947797716,0.4543230016313214,9.631,1209.883,95.354,161.041,18.613,0.059804646021820534,0.4078899162325122,75.478,3068.081,384.422,604.975,84.972,0.12476218025538244,0.3645654779123104,1125.0,68565.0,12920.0,16550.0,1164.0,0.06797583081570997,0.21933534743202418
2011-03-31,359.0,27113.0,4758.0,5533.0,-436.0,0.06488342671245256,0.14006867883607446,860.0,11040.0,669.0,1235.0,7.0,0.6963562753036437,0.4582995951417004,1.569,1224.318,74.868,123.981,4.844,0.012655164904299852,0.39613327848621965,31.894,3139.881,439.56,696.53,106.58,0.04578984394067736,0.36892883292894774,417.0,68760.0,11636.0,14910.0,586.0,0.02796780684104628,0.21958417169684774
