"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"beta4",0.997826,0.000104,9567.56346,0,"Financial GDP",0.00657650831630347
"m4",7.310082,0.020125,363.235451,0,"Financial GDP",52857.094847
"theta4",-0.094384,0.034769,-2.71456,0.006636,"Financial GDP",52895.027754
"w24",12.611389,0.3121,40.408136,0,"Financial GDP",-26422.5474236072
"alpha5",0.000253,6e-06,41.118934,0,"Financial UMich",8.45767982769225
"gamma5",0.000298,0.000306,0.976067,0.329031,"Financial UMich",0.456468621057893
"beta5",0.998598,3.9e-05,25667.854029,0,"Financial UMich",0.0386066544829584
"m5",7.589675,0.111839,67.862264,0,"Financial UMich",52716.750435
"theta5",0.435109,0.02477,17.566089,0,"Financial UMich",52754.683341
"w25",1.418864,0.060559,23.429286,0,"Financial UMich",-26352.3752173826
"alpha6",0.048395,0.007919,6.111338,0,"Financial StLouisStress",35.2655463679891
"gamma6",-4.761002,0.175615,-27.110514,0,"Financial StLouisStress",0.123993734383705
"beta6",0.001135,0.158198,0.007174,0.994276,"Financial StLouisStress",0.0437270678924866
"m6",8.247569,0.104581,78.863158,0,"Financial StLouisStress",52759.097579
"theta6",0.432179,0.01095,39.469267,0,"Financial StLouisStress",52797.030485
"w26",1.001,0.118843,8.42285,0,"Financial StLouisStress",-26373.5487893934
"alpha7",0.000175,7e-06,24.148157,0,"Financial GEPU",0.867876678705789
"gamma7",-0.071909,0.015104,-4.760923,2e-06,"Financial GEPU",0.171740121833218
"beta7",0.997395,0.000112,8871.64376,0,"Financial GEPU",0.00149049246537141
"m7",6.973595,0.155278,44.910351,0,"Financial GEPU",52860.922188
"theta7",0.010282,0.002288,4.4934,7e-06,"Financial GEPU",52898.855095
"w27",22.109695,0.015066,1467.513064,0,"Financial GEPU",-26424.4610940984
"alpha8",0.000165,8e-06,21.06304,0,"Financial GPR",4.54213731762783
"gamma8",-0.068881,0.017204,-4.003803,6.2e-05,"Financial GPR",0.191570841123678
"beta8",0.997487,0.000117,8497.452407,0,"Financial GPR",0.00870141066437208
"m8",7.086833,0.186375,38.024599,0,"Financial GPR",52810.21614
"theta8",0.072505,0.00541,13.402865,0,"Financial GPR",52848.149046
"w28",1.121498,0.089489,12.53222,0,"Financial GPR",-26399.1080698708
"alpha9",0.000206,8e-06,25.594779,0,"Financial BKK",1.31480419510872
"gamma9",-0.053748,0.021759,-2.470133,0.013506,"Financial BKK",0.179028608077586
"beta9",0.997589,0.000131,7636.299105,0,"Financial BKK",0.00235387564944885
"m9",7.001313,0.311713,22.460741,0,"Financial BKK",52855.875567
"theta9",-0.095746,0.019103,-5.012017,1e-06,"Financial BKK",52893.808473
"w29",37.702708,0.314089,120.038403,0,"Financial BKK",-26421.9377835201
"alpha10",0.000148,8e-06,18.927999,0,"Financial Unemployment",0.750946320219139
"gamma10",0.000142,0.000223,0.635565,0.52506,"Financial Unemployment",0.114031820325961
"beta10",0.998781,0.000185,5397.62072,0,"Financial Unemployment",0.000856317758616707
"m10",9.324316,0.000335,27802.255541,0,"Financial Unemployment",52855.001769
"theta10",0.186834,0.21255,0.879011,0.379395,"Financial Unemployment",52892.934676
"w210",23.55924,5.983558,3.93733,8.2e-05,"Financial Unemployment",-26421.5008846466
"alpha11",0.04552,0.144539,0.314932,0.752813,"Financial CFNAI",31.5010797635043
"gamma11",-5.704812,0.26486,-21.538992,0,"Financial CFNAI",0.103678533619082
"beta11",0.001213,3.174276,0.000382,0.999695,"Financial CFNAI",0.0326598575729786
"m11",8.055961,2.419174,3.330046,0.000868,"Financial CFNAI",52813.813142
"theta11",-0.571164,0.024521,-23.292647,0,"Financial CFNAI",52851.746048
"w211",1.001,0.285831,3.502065,0.000462,"Financial CFNAI",-26400.9065710001
"alpha12",0.046904,0.028513,1.645009,0.099968,"Financial VIX",47.1063221839466
"gamma12",-1.832844,0.216282,-8.474312,0,"Financial VIX",0.27306816814348
"beta12",0.00107,0.602418,0.001776,0.998583,"Financial VIX",0.128632371067469
"m12",6.438828,0.22093,29.144152,0,"Financial VIX",52478.166503
"theta12",0.115333,0.003279,35.173768,0,"Financial VIX",52516.09941
"w212",1.001,0.107687,9.295431,0,"Financial VIX",-26233.0832515404
"alpha13",0.040555,0.010599,3.826285,0.00013,"Financial VXN",36.4515330198812
"gamma13",-3.639707,0.146103,-24.911875,0,"Financial VXN",0.23377400516819
"beta13",0.001081,0.246611,0.004385,0.996501,"Financial VXN",0.0852142086857816
"m13",6.348443,0.194328,32.668776,0,"Financial VXN",52614.709832
"theta13",0.095643,0.002559,37.378119,0,"Financial VXN",52652.642738
"w213",1.001,0.116351,8.603293,0,"Financial VXN",-26301.3549159469
"alpha14",0.000173,8e-06,21.884211,0,"Financial TermSpread",1.2636328502326
"gamma14",-0.055499,0.026956,-2.058886,0.039505,"Financial TermSpread",0.174257952924037
"beta14",0.997635,0.000122,8196.419493,0,"Financial TermSpread",0.002201980737291
"m14",7.07975,0.415878,17.023603,0,"Financial TermSpread",52842.709117
"theta14",1.628386,0.195614,8.324483,0,"Financial TermSpread",52880.642023
"w214",1.538301,0.293346,5.243987,0,"Financial TermSpread",-26415.3545584484
"alpha15",0.00018,7e-06,26.749008,0,"Financial NewOrders",0.996851897662859
"gamma15",-0.03903,0.012544,-3.11147,0.001862,"Financial NewOrders",0.192996933074568
"beta15",0.997849,0.000122,8145.959337,0,"Financial NewOrders",0.00192389358978495
"m15",7.242326,0.224493,32.260877,0,"Financial NewOrders",52845.970661
"theta15",-0.030721,0.00437,-7.029734,0,"Financial NewOrders",52883.903568
"w215",1.51199,0.463915,3.259196,0.001117,"Financial NewOrders",-26416.9853305533
"alpha16",0.052892,0.009416,5.61716,0,"Financial DefaultSpread",49.2251277562619
"gamma16",-2.640175,0.251246,-10.508333,0,"Financial DefaultSpread",0.211865614575811
"beta16",0.001061,0.178108,0.005958,0.995246,"Financial DefaultSpread",0.104291119446533
"m16",6.980512,0.053353,130.836029,0,"Financial DefaultSpread",52559.272928
"theta16",0.254114,0.006941,36.610741,0,"Financial DefaultSpread",52597.205834
"w216",1.001,0.094356,10.608772,0,"Financial DefaultSpread",-26273.6364638188
"alpha17",0.019077,0.002067,9.227841,0,"Financial EquityVolMeasure",112.807739140411
"gamma17",-16.618851,0.392065,-42.388032,0,"Financial EquityVolMeasure",0.464566044348666
"beta17",0.001014,0.093833,0.010801,0.991382,"Financial EquityVolMeasure",0.524066451443772
"m17",9.324299,0.123744,75.351784,0,"Financial EquityVolMeasure",52285.167928
"theta17",-3.524621,0.172108,-20.479165,0,"Financial EquityVolMeasure",52323.100834
"w217",1.001,0.075789,13.207664,0,"Financial EquityVolMeasure",-26136.5839638944
"alpha18",0.000144,6e-06,25.984162,0,"Financial RecessionSpread",12.6527006501881
"gamma18",0.000127,6.3e-05,2.024983,0.042869,"Financial RecessionSpread",0.244413464729017
"beta18",0.998793,4.1e-05,24343.196269,0,"Financial RecessionSpread",0.0309249040409156
"m18",8.637081,0.05118,168.758627,0,"Financial RecessionSpread",52611.356406
"theta18",8.797701,0.157972,55.691489,0,"Financial RecessionSpread",52649.289312
"w218",1.033803,0.049126,21.044046,0,"Financial RecessionSpread",-26299.6782029205
"alpha19",0.000179,6e-06,28.629997,0,"Financial CitiSurprise",6.09137797204678
"gamma19",-0.042808,0.008146,-5.255128,0,"Financial CitiSurprise",0.214953474038725
"beta19",0.99776,8.9e-05,11213.894326,0,"Financial CitiSurprise",0.0130936285677442
"m19",7.229642,0.139912,51.672936,0,"Financial CitiSurprise",52810.930582
"theta19",-0.008532,0.000905,-9.42468,0,"Financial CitiSurprise",52848.863489
"w219",2.388968,0.349111,6.843013,0,"Financial CitiSurprise",-26399.4652912461
"alpha20",0.03168,0.008618,3.676133,0.000237,"Financial MOVE",37.4125547961066
"gamma20",-5.043798,0.184705,-27.307302,0,"Financial MOVE",0.323279312179388
"beta20",0.001892,0.253171,0.007472,0.994038,"Financial MOVE",0.12094704981359
"m20",6.313571,0.159066,39.691625,0,"Financial MOVE",52430.756571
"theta20",0.021195,0.000571,37.095653,0,"Financial MOVE",52468.689477
"w220",1.001,0.228929,4.372535,1.2e-05,"Financial MOVE",-26209.3782854418
"alpha21",0.01065,0.005355,1.988747,0.046729,"Materials HousingStart",35.0276917506479
"gamma21",0.311477,0.167679,1.857581,0.063228,"Materials HousingStart",0.19451589921631
"beta21",0.813992,0.092004,8.847324,0,"Materials HousingStart",0.06813442958349
"m21",10.770698,0.489508,22.003105,0,"Materials HousingStart",50313.944405
"theta21",-0.104924,0.004942,-21.231533,0,"Materials HousingStart",50351.877311
"w221",1.001,0.092117,10.86656,0,"Materials HousingStart",-25150.9722023336
"alpha22",0.002254,0.000387,5.831426,0,"Materials IndProd",16.0701770712908
"gamma22",0.066727,0.011601,5.751646,0,"Materials IndProd",0.159201649181093
"beta22",0.961248,0.006278,153.113082,0,"Materials IndProd",0.0255839869238169
"m22",11.17212,0.177631,62.895091,0,"Materials IndProd",50459.796339
"theta22",-0.269438,0.019255,-13.993047,0,"Materials IndProd",50497.729245
"w222",1.001001,0.142917,7.004076,0,"Materials IndProd",-25223.8981695211
"alpha23",0.001358,0.000216,6.282499,0,"Materials CoreInflation",18.9192296515863
"gamma23",0.0376,0.007119,5.281344,0,"Materials CoreInflation",0.145572034887664
"beta23",0.977259,0.003624,269.657121,0,"Materials CoreInflation",0.0275411075888845
"m23",10.852344,0.221947,48.896141,0,"Materials CoreInflation",50541.18711
"theta23",-0.029092,0.004127,-7.04856,0,"Materials CoreInflation",50579.120017
"w223",4.338682,0.770077,5.634089,0,"Materials CoreInflation",-25264.5935550489
"alpha24",0.001072,0.000447,2.396699,0.016544,"Materials PPI",13.0636084294105
"gamma24",0.025832,0.012972,1.991381,0.046439,"Materials PPI",0.159541129082179
"beta24",0.983029,0.007259,135.429945,0,"Materials PPI",0.0208418283871563
"m24",10.406573,0.347777,29.923154,0,"Materials PPI",50517.338365
"theta24",-0.141347,0.031774,-4.448452,9e-06,"Materials PPI",50555.271271
"w224",2.429739,0.25239,9.626917,0,"Materials PPI",-25252.6691824904
"alpha25",0.001072,0.000447,2.396699,0.016544,"Materials PPI",13.0636084294105
"gamma25",0.025832,0.012972,1.991381,0.046439,"Materials PPI",0.159541129082179
"beta25",0.983029,0.007259,135.429945,0,"Materials PPI",0.0208418283871563
"m25",10.406573,0.347777,29.923154,0,"Materials PPI",50517.338365
"theta25",-0.141347,0.031774,-4.448452,9e-06,"Materials PPI",50555.271271
"w225",2.429739,0.25239,9.626917,0,"Materials PPI",-25252.6691824904
"alpha26",0.000229,8e-06,28.703166,0,"Materials UMich",4.59073711318973
"gamma26",0.003598,0.000114,31.666036,0,"Materials UMich",0.133211987544678
"beta26",0.996972,6.6e-05,15128.577509,0,"Materials UMich",0.00611541215143121
"m26",9.56988,0.022811,419.535833,0,"Materials UMich",50461.36706
