Date,Instrument,Price Close
2011-05-25,.SPX,1320.47
2011-05-26,.SPX,1325.69
2011-05-27,.SPX,1331.1
2011-05-27,.SPX,1331.1
2011-05-31,.SPX,1345.2
2011-06-01,.SPX,1314.55
2011-06-02,.SPX,1312.94
2011-06-03,.SPX,1300.16
2011-06-06,.SPX,1286.17
2011-06-07,.SPX,1284.94
2011-06-08,.SPX,1279.56
2011-06-09,.SPX,1289.0
2011-06-10,.SPX,1270.98
2011-06-13,.SPX,1271.83
2011-06-14,.SPX,1287.87
2011-06-15,.SPX,1265.42
2011-06-16,.SPX,1267.64
2011-06-17,.SPX,1271.5
2011-06-20,.SPX,1278.36
2011-06-21,.SPX,1295.52
2011-06-22,.SPX,1287.14
2011-06-23,.SPX,1283.5
2011-06-24,.SPX,1268.45
2011-06-27,.SPX,1280.1
2011-06-28,.SPX,1296.67
2011-06-29,.SPX,1307.41
2011-06-30,.SPX,1320.64
2011-07-01,.SPX,1339.67
2011-07-01,.SPX,1339.67
2011-07-05,.SPX,1337.88
2011-07-06,.SPX,1339.22
2011-07-07,.SPX,1353.22
2011-07-08,.SPX,1343.8
2011-07-11,.SPX,1319.49
2011-07-12,.SPX,1313.64
2011-07-13,.SPX,1317.72
2011-07-14,.SPX,1308.87
2011-07-15,.SPX,1316.14
2011-07-18,.SPX,1305.44
2011-07-19,.SPX,1326.73
2011-07-20,.SPX,1325.84
2011-07-21,.SPX,1343.8
2011-07-22,.SPX,1345.02
2011-07-25,.SPX,1337.43
2011-07-26,.SPX,1331.94
2011-07-27,.SPX,1304.89
2011-07-28,.SPX,1300.67
2011-07-29,.SPX,1292.28
2011-08-01,.SPX,1286.94
2011-08-02,.SPX,1254.05
2011-08-03,.SPX,1260.34
2011-08-04,.SPX,1200.07
2011-08-05,.SPX,1199.38
2011-08-08,.SPX,1119.46
2011-08-09,.SPX,1172.53
2011-08-10,.SPX,1120.76
2011-08-11,.SPX,1172.64
2011-08-12,.SPX,1178.81
2011-08-15,.SPX,1204.49
2011-08-16,.SPX,1192.76
2011-08-17,.SPX,1193.89
2011-08-18,.SPX,1140.65
2011-08-19,.SPX,1123.53
2011-08-22,.SPX,1123.82
2011-08-23,.SPX,1162.35
2011-08-24,.SPX,1177.6
2011-08-25,.SPX,1159.27
2011-08-26,.SPX,1176.8
2011-08-29,.SPX,1210.08
2011-08-30,.SPX,1212.92
2011-08-31,.SPX,1218.89
2011-09-01,.SPX,1204.42
2011-09-02,.SPX,1173.97
2011-09-02,.SPX,1173.97
2011-09-06,.SPX,1165.24
2011-09-07,.SPX,1198.62
2011-09-08,.SPX,1185.9
2011-09-09,.SPX,1154.23
2011-09-12,.SPX,1162.27
2011-09-13,.SPX,1172.87
2011-09-14,.SPX,1188.68
2011-09-15,.SPX,1209.11
2011-09-16,.SPX,1216.01
2011-09-19,.SPX,1204.09
2011-09-20,.SPX,1202.09
2011-09-21,.SPX,1166.76
2011-09-22,.SPX,1129.56
2011-09-23,.SPX,1136.43
2011-09-26,.SPX,1162.95
2011-09-27,.SPX,1175.38
2011-09-28,.SPX,1151.06
2011-09-29,.SPX,1160.4
2011-09-30,.SPX,1131.42
2011-10-03,.SPX,1099.23
2011-10-04,.SPX,1123.95
2011-10-05,.SPX,1144.03
2011-10-06,.SPX,1164.97
2011-10-07,.SPX,1155.46
2011-10-10,.SPX,1194.89
2011-10-11,.SPX,1195.54
2011-10-12,.SPX,1207.25
2011-10-13,.SPX,1203.66
2011-10-14,.SPX,1224.58
2011-10-17,.SPX,1200.86
2011-10-18,.SPX,1225.38
2011-10-19,.SPX,1209.88
2011-10-20,.SPX,1215.39
2011-10-21,.SPX,1238.25
2011-10-24,.SPX,1254.19
2011-10-25,.SPX,1229.05
2011-10-26,.SPX,1242.0
2011-10-27,.SPX,1284.59
2011-10-28,.SPX,1285.09
2011-10-31,.SPX,1253.3
2011-11-01,.SPX,1218.28
2011-11-02,.SPX,1237.9
2011-11-03,.SPX,1261.15
2011-11-04,.SPX,1253.23
2011-11-07,.SPX,1261.12
2011-11-08,.SPX,1275.92
2011-11-09,.SPX,1229.1
2011-11-10,.SPX,1239.69
2011-11-11,.SPX,1263.85
2011-11-14,.SPX,1251.78
2011-11-15,.SPX,1257.81
2011-11-16,.SPX,1236.91
2011-11-17,.SPX,1216.13
2011-11-18,.SPX,1215.65
2011-11-21,.SPX,1192.98
2011-11-22,.SPX,1188.04
2011-11-23,.SPX,1161.79
2011-11-23,.SPX,1161.79
2011-11-25,.SPX,1158.67
2011-11-28,.SPX,1192.55
2011-11-29,.SPX,1195.19
2011-11-30,.SPX,1246.96
2011-12-01,.SPX,1244.58
2011-12-02,.SPX,1244.28
2011-12-05,.SPX,1257.08
2011-12-06,.SPX,1258.47
2011-12-07,.SPX,1261.01
2011-12-08,.SPX,1234.35
2011-12-09,.SPX,1255.19
2011-12-12,.SPX,1236.47
2011-12-13,.SPX,1225.73
2011-12-14,.SPX,1211.82
2011-12-15,.SPX,1215.75
2011-12-16,.SPX,1219.66
2011-12-19,.SPX,1205.35
2011-12-20,.SPX,1241.3
2011-12-21,.SPX,1243.72
2011-12-22,.SPX,1254.0
2011-12-23,.SPX,1265.33
2011-12-23,.SPX,1265.33
2011-12-27,.SPX,1265.43
2011-12-28,.SPX,1249.64
2011-12-29,.SPX,1263.02
2011-12-30,.SPX,1257.6
2011-12-30,.SPX,1257.6
2012-01-03,.SPX,1277.06
2012-01-04,.SPX,1277.3
2012-01-05,.SPX,1281.06
2012-01-06,.SPX,1277.81
2012-01-09,.SPX,1280.7
2012-01-10,.SPX,1292.08
2012-01-11,.SPX,1292.48
2012-01-12,.SPX,1295.5
2012-01-13,.SPX,1289.09
2012-01-13,.SPX,1289.09
2012-01-17,.SPX,1293.67
2012-01-18,.SPX,1308.04
2012-01-19,.SPX,1314.5
2012-01-20,.SPX,1315.38
2012-01-23,.SPX,1316.0
2012-01-24,.SPX,1314.65
2012-01-25,.SPX,1326.05
2012-01-26,.SPX,1318.43
2012-01-27,.SPX,1316.33
2012-01-30,.SPX,1313.01
2012-01-31,.SPX,1312.41
2012-02-01,.SPX,1324.09
2012-02-02,.SPX,1325.54
2012-02-03,.SPX,1344.9
2012-02-06,.SPX,1344.33
2012-02-07,.SPX,1347.05
2012-02-08,.SPX,1349.96
2012-02-09,.SPX,1351.95
2012-02-10,.SPX,1342.64
2012-02-13,.SPX,1351.77
2012-02-14,.SPX,1350.5
2012-02-15,.SPX,1343.23
2012-02-16,.SPX,1358.04
2012-02-17,.SPX,1361.23
2012-02-17,.SPX,1361.23
