,Instrument,Price Close,Date
73704,URI.N,118.4,2019-10-11T00:00:00Z
73705,URI.N,118.68,2019-10-14T00:00:00Z
73706,URI.N,120.68,2019-10-15T00:00:00Z
73707,URI.N,121.67,2019-10-16T00:00:00Z
73708,URI.N,127.9,2019-10-17T00:00:00Z
73709,URI.N,128.66,2019-10-18T00:00:00Z
73710,URI.N,129.67,2019-10-21T00:00:00Z
73711,URI.N,132.4,2019-10-22T00:00:00Z
73712,URI.N,133.67,2019-10-23T00:00:00Z
73713,URI.N,132.0,2019-10-24T00:00:00Z
73714,URI.N,135.38,2019-10-25T00:00:00Z
73715,URI.N,136.0,2019-10-28T00:00:00Z
73716,URI.N,137.04,2019-10-29T00:00:00Z
73717,URI.N,135.94,2019-10-30T00:00:00Z
73718,URI.N,133.57,2019-10-31T00:00:00Z
73719,URI.N,141.86,2019-11-01T00:00:00Z
73720,URI.N,146.73,2019-11-04T00:00:00Z
73721,URI.N,146.98,2019-11-05T00:00:00Z
73722,URI.N,147.14,2019-11-06T00:00:00Z
73723,URI.N,150.17,2019-11-07T00:00:00Z
73724,URI.N,155.32,2019-11-08T00:00:00Z
73725,URI.N,156.36,2019-11-11T00:00:00Z
73726,URI.N,154.46,2019-11-12T00:00:00Z
73727,URI.N,150.73,2019-11-13T00:00:00Z
73728,URI.N,152.32,2019-11-14T00:00:00Z
73729,URI.N,154.34,2019-11-15T00:00:00Z
73730,URI.N,153.27,2019-11-18T00:00:00Z
73731,URI.N,152.27,2019-11-19T00:00:00Z
73732,URI.N,148.52,2019-11-20T00:00:00Z
73733,URI.N,152.47,2019-11-21T00:00:00Z
73734,URI.N,154.51,2019-11-22T00:00:00Z
73735,URI.N,157.02,2019-11-25T00:00:00Z
73736,URI.N,156.29,2019-11-26T00:00:00Z
73737,URI.N,156.46,2019-11-27T00:00:00Z
73738,URI.N,153.05,2019-11-29T00:00:00Z
73739,URI.N,152.19,2019-12-02T00:00:00Z
73740,URI.N,149.37,2019-12-03T00:00:00Z
73741,URI.N,150.53,2019-12-04T00:00:00Z
73742,URI.N,153.13,2019-12-05T00:00:00Z
73743,URI.N,157.26,2019-12-06T00:00:00Z
73744,URI.N,155.86,2019-12-09T00:00:00Z
73745,URI.N,153.78,2019-12-10T00:00:00Z
73746,URI.N,156.97,2019-12-11T00:00:00Z
73747,URI.N,163.19,2019-12-12T00:00:00Z
73748,URI.N,162.74,2019-12-13T00:00:00Z
