date,MOVE,SPX,SKEWX,RVOL,VIX,VVIX,CESIUSD,GPR,Year_Week,GEP,Returns,Squared Returns
2013-12-12,72.8,1775.5,125.09,8.09,15.54,83.38,31.7,70.37248992919922,2013-12-01,119.2406061654542,-1.515908876249417,2.2979797210917705
2013-12-13,72.6,1775.32,126.22,7.64,15.76,85.39,32.1,70.37248992919922,2013-12-01,119.2406061654542,-0.010138503227667498,0.00010278924769742427
2013-12-16,69.9,1786.54,128.21,7.77,16.03,83.2,35.4,70.37248992919922,2013-12-01,119.2406061654542,0.630010001027756,0.39691260139499307
2013-12-17,68.5,1781.0,128.75,7.76,16.21,82.23,45.2,70.37248992919922,2013-12-01,119.2406061654542,-0.3105784071481868,0.09645894698670489
2013-12-18,65.0,1810.65,135.58,9.64,13.8,67.17,44.1,70.37248992919922,2013-12-01,119.2406061654542,1.6510892525584175,2.7260957199139138
2013-12-19,67.7,1809.6,137.86,9.61,14.15,67.03,39.1,70.37248992919922,2013-12-01,119.2406061654542,-0.05800704533898699,0.0033648173089592926
2013-12-20,67.3,1818.32,143.2,9.74,13.79,68.0,47.0,70.37248992919922,2013-12-01,119.2406061654542,0.48071714880478694,0.23108897715500368
2013-12-23,66.2,1827.99,138.11,9.5,13.04,63.49,44.9,70.37248992919922,2013-12-01,119.2406061654542,0.5304004689709988,0.28132465748465546
2013-12-24,67.8,1833.32,137.88,9.43,12.48,63.49,48.4,70.37248992919922,2013-12-01,119.2406061654542,0.29115282591196123,0.0847699680365208
2013-12-26,66.8,1842.02,136.65,9.54,12.33,62.71,49.4,70.37248992919922,2013-12-01,119.2406061654542,0.47342647208743666,0.22413262447315643
2013-12-27,65.8,1841.4,136.72,9.55,12.46,66.67,49.4,70.37248992919922,2013-12-01,119.2406061654542,-0.03366436658622563,0.0011332895776517847
2013-12-30,69.1,1841.07,134.36,9.52,13.56,69.71,50.2,70.37248992919922,2013-12-01,119.2406061654542,-0.01792275298283738,0.00032122507448380624
