"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"beta73",0.997554,4.6e-05,21641.619217,0,"Healthcare Unemployment",0.0027953862991576
"m73",12.439881,0.034973,355.695114,0,"Healthcare Unemployment",61446.268706
"theta73",0.724601,0.259869,2.788331,0.005298,"Healthcare Unemployment",61484.201613
"w273",1.120519,3.174655,0.352958,0.72412,"Healthcare Unemployment",-30717.1343531608
"alpha74",0.00026,6e-06,43.726728,0,"Healthcare CFNAI",9.90805339241496
"gamma74",0.002602,7.9e-05,32.834726,0,"Healthcare CFNAI",0.127924449757216
"beta74",0.997439,5.3e-05,18652.012363,0,"Healthcare CFNAI",0.012674822783898
"m74",12.31642,0.011804,1043.394089,0,"Healthcare CFNAI",61360.829863
"theta74",-0.355815,0.012437,-28.609729,0,"Healthcare CFNAI",61398.762769
"w274",1.001005,0.120375,8.315731,0,"Healthcare CFNAI",-30674.4149314349
"alpha75",0.000701,6e-05,11.629116,0,"Healthcare VIX",31.7281786146418
"gamma75",0.014686,0.001135,12.93592,0,"Healthcare VIX",0.237316879835907
"beta75",0.990955,0.00074,1338.450709,0,"Healthcare VIX",0.0752963235170315
"m75",11.916854,0.049921,238.715807,0,"Healthcare VIX",61220.429169
"theta75",0.08824,0.003557,24.808732,0,"Healthcare VIX",61258.362076
"w275",1.001139,0.121062,8.269655,0,"Healthcare VIX",-30604.2145846274
"alpha76",0.000785,7.4e-05,10.612381,0,"Healthcare VXN",28.2639500041622
"gamma76",0.021348,0.001709,12.494462,0,"Healthcare VXN",0.306084664408024
"beta76",0.987494,0.000932,1059.305383,0,"Healthcare VXN",0.0865116165186916
"m76",11.894467,0.081847,145.326049,0,"Healthcare VXN",61245.231599
"theta76",0.096368,0.003123,30.857006,0,"Healthcare VXN",61283.164505
"w276",1.001,0.098008,10.213487,0,"Healthcare VXN",-30616.6157993882
"alpha77",0.000237,5e-06,43.822985,0,"Healthcare TermSpread",0.598732231913004
"gamma77",0.002385,4.2e-05,56.904745,0,"Healthcare TermSpread",0.0871738619348353
"beta77",0.99757,3.8e-05,26469.839333,0,"Healthcare TermSpread",0.0005219380092072
"m77",12.447905,0.010979,1133.821636,0,"Healthcare TermSpread",61459.557684
"theta77",0.742864,0.135602,5.478258,0,"Healthcare TermSpread",61497.490591
"w277",1.98132,0.147135,13.466018,0,"Healthcare TermSpread",-30723.7788420509
"alpha78",0.000232,5e-06,42.40202,0,"Healthcare NewOrders",0.0318110289274735
"gamma78",0.002367,3.9e-05,61.216341,0,"Healthcare NewOrders",0.0840369116852134
"beta78",0.997585,3.5e-05,28385.330281,0,"Healthcare NewOrders",2.67330062859386e-05
"m78",12.453951,0.011258,1106.265449,0,"Healthcare NewOrders",61465.612757
"theta78",0.003417,0.003323,1.028463,0.303732,"Healthcare NewOrders",61503.545664
"w278",2.151429,0.024873,86.497354,0,"Healthcare NewOrders",-30726.8063785938
"alpha79",0.000317,7e-06,43.523323,0,"Healthcare DefaultSpread",16.7132685461593
"gamma79",0.003453,0.000124,27.78957,0,"Healthcare DefaultSpread",0.134984542771317
"beta79",0.996956,8e-05,12516.730963,0,"Healthcare DefaultSpread",0.0225603291291754
"m79",11.829625,0.021077,561.251803,0,"Healthcare DefaultSpread",61306.292134
"theta79",0.118189,0.00292,40.477756,0,"Healthcare DefaultSpread",61344.22504
"w279",1.001016,0.080759,12.395095,0,"Healthcare DefaultSpread",-30647.1460668707
"alpha80",0.052694,0.00158,33.344002,0,"Healthcare EquityVolMeasure",154.787720790619
"gamma80",0.226237,0.057989,3.901389,9.6e-05,"Healthcare EquityVolMeasure",0.263517388943425
"beta80",0.00128,0.01376,0.093037,0.925874,"Healthcare EquityVolMeasure",0.407892560232477
"m80",13.518413,0.057394,235.537432,0,"Healthcare EquityVolMeasure",61202.949512
"theta80",-3.102411,0.141221,-21.968451,0,"Healthcare EquityVolMeasure",61240.882419
"w280",1.160801,0.083236,13.945846,0,"Healthcare EquityVolMeasure",-30595.4747562264
"alpha81",0.000235,3.1e-05,7.563245,0,"Healthcare RecessionSpread",5.61722098379276
"gamma81",0.002671,0.001181,2.262557,0.023663,"Healthcare RecessionSpread",0.0919253296298001
"beta81",0.997429,0.00071,1404.205036,0,"Healthcare RecessionSpread",0.0051636489053858
"m81",12.345258,0.023749,519.816392,0,"Healthcare RecessionSpread",61426.723215
"theta81",3.550542,5.487046,0.647077,0.517582,"Healthcare RecessionSpread",61464.656121
"w281",1.274721,1.842995,0.691657,0.489152,"Healthcare RecessionSpread",-30707.3616073343
"alpha82",0.000237,5e-06,43.647026,0,"Healthcare CitiSurprise",1.22075778230735
"gamma82",0.002328,8.1e-05,28.78282,0,"Healthcare CitiSurprise",0.0896116435906785
"beta82",0.997599,5.9e-05,16789.872673,0,"Healthcare CitiSurprise",0.00109394111298673
"m82",12.441981,0.020884,595.756938,0,"Healthcare CitiSurprise",61459.229894
"theta82",-0.00225,0.000596,-3.777328,0.000159,"Healthcare CitiSurprise",61497.162801
"w282",3.243683,1.458488,2.224004,0.026148,"Healthcare CitiSurprise",-30723.6149472182
"alpha83",0.000185,7e-06,26.948099,0,"Healthcare MOVE",22.36794410566
"gamma83",0.003159,0.000171,18.442566,0,"Healthcare MOVE",0.413416453720422
"beta83",0.997235,9.5e-05,10454.16183,0,"Healthcare MOVE",0.0924727612917857
"m83",10.719199,0.052266,205.091258,0,"Healthcare MOVE",60962.452272
"theta83",0.018533,0.000525,35.291955,0,"Healthcare MOVE",61000.385178
"w283",1.001006,0.114792,8.720158,0,"Healthcare MOVE",-30475.2261358284
"alpha84",0.075842,0.005269,14.395181,0,"VentureComposite HousingStart",3.0428473599828
"gamma84",0.955258,0.06564,14.553064,0,"VentureComposite HousingStart",0.385234436533379
"beta84",0.429234,0.037854,11.339223,0,"VentureComposite HousingStart",0.0117220958818005
"m84",15.398062,0.272378,56.53198,0,"VentureComposite HousingStart",63734.621614
