permno,adate,qdate,public_date,pe_op_basic,pe_exi,roa,rd_sale,TICKER
86228,2017-12-31,2018-06-30,2018-08-31,26.872,18.025,0.133,0.000,RSG
86228,2017-12-31,2018-06-30,2018-09-30,26.615,17.853,0.133,0.000,RSG
86228,2017-12-31,2018-06-30,2018-10-31,26.623,17.857,0.133,0.000,RSG
86228,2017-12-31,2018-09-30,2018-11-30,26.761,18.371,0.133,0.000,RSG
86228,2017-12-31,2018-09-30,2018-12-31,24.945,17.124,0.133,0.000,RSG
86228,2017-12-31,2018-09-30,2019-01-31,26.543,18.221,0.133,0.000,RSG
86228,2018-12-31,2018-12-31,2019-02-28,25.382,24.820,0.131,0.000,RSG
86228,2018-12-31,2018-12-31,2019-03-31,26.013,25.437,0.131,0.000,RSG
86228,2018-12-31,2018-12-31,2019-04-30,26.803,26.209,0.131,0.000,RSG
86228,2018-12-31,2019-03-31,2019-05-31,27.287,26.769,0.132,0.000,RSG
86228,2018-12-31,2019-03-31,2019-06-30,27.948,27.418,0.132,0.000,RSG
86228,2018-12-31,2019-03-31,2019-07-31,28.597,28.054,0.132,0.000,RSG
86228,2018-12-31,2019-06-30,2019-08-31,28.244,27.632,0.132,0.000,RSG
86228,2018-12-31,2019-06-30,2019-09-30,27.389,26.796,0.132,0.000,RSG
86228,2018-12-31,2019-06-30,2019-10-31,27.693,27.093,0.132,0.000,RSG
86228,2018-12-31,2019-09-30,2019-11-30,27.446,26.463,0.132,0.000,RSG
86228,2018-12-31,2019-09-30,2019-12-31,27.749,26.755,0.132,0.000,RSG
86228,2018-12-31,2019-09-30,2020-01-31,29.427,28.373,0.132,0.000,RSG
86228,2019-12-31,2019-12-31,2020-02-29,26.943,27.105,0.130,0.000,RSG
86228,2019-12-31,2019-12-31,2020-03-31,22.406,22.541,0.130,0.000,RSG
86228,2019-12-31,2019-12-31,2020-04-30,23.385,23.526,0.130,0.000,RSG
86228,2019-12-31,2020-03-31,2020-05-31,25.284,25.284,0.132,0.000,RSG
86228,2019-12-31,2020-03-31,2020-06-30,24.275,24.275,0.132,0.000,RSG
86228,2019-12-31,2020-03-31,2020-07-31,25.814,25.814,0.132,0.000,RSG
86228,2019-12-31,2020-06-30,2020-08-31,26.720,28.097,0.132,0.000,RSG
86228,2019-12-31,2020-06-30,2020-09-30,26.902,28.288,0.132,0.000,RSG
86228,2019-12-31,2020-06-30,2020-10-31,25.409,26.718,0.132,0.000,RSG
86228,2019-12-31,2020-09-30,2020-11-30,26.942,30.320,0.133,0.000,RSG
86228,2019-12-31,2020-09-30,2020-12-31,26.825,30.188,0.133,0.000,RSG
86228,2019-12-31,2020-09-30,2021-01-31,25.214,28.376,0.133,0.000,RSG
86228,2020-12-31,2020-12-31,2021-02-28,23.885,29.500,0.131,0.000,RSG
86228,2020-12-31,2020-12-31,2021-03-31,26.635,32.897,0.131,0.000,RSG
86228,2020-12-31,2020-12-31,2021-04-30,28.499,35.199,0.131,0.000,RSG
86228,2020-12-31,2021-03-31,2021-05-31,27.995,34.226,0.136,0.000,RSG
86228,2020-12-31,2021-03-31,2021-06-30,28.208,34.486,0.136,0.000,RSG
86228,2020-12-31,2021-03-31,2021-07-31,30.349,37.103,0.136,0.000,RSG
86228,2020-12-31,2021-06-30,2021-08-31,30.129,35.365,0.140,0.000,RSG
86228,2020-12-31,2021-06-30,2021-09-30,29.141,34.205,0.140,0.000,RSG
86228,2020-12-31,2021-06-30,2021-10-31,32.670,38.348,0.140,0.000,RSG
86228,2020-12-31,2021-09-30,2021-11-30,31.416,34.805,0.143,0.000,RSG
86228,2020-12-31,2021-09-30,2021-12-31,33.124,36.697,0.143,0.000,RSG
86228,2020-12-31,2021-09-30,2022-01-31,30.323,33.595,0.143,0.000,RSG
86228,2021-12-31,2021-12-31,2022-02-28,28.844,29.772,0.138,0.000,RSG
86228,2021-12-31,2021-12-31,2022-03-31,31.775,32.797,0.138,0.000,RSG
86228,2021-12-31,2021-12-31,2022-04-30,32.199,33.235,0.138,0.000,RSG
86228,2021-12-31,2022-03-31,2022-05-31,30.557,31.716,0.145,0.000,RSG
86228,2021-12-31,2022-03-31,2022-06-30,29.879,31.012,0.145,0.000,RSG
86228,2021-12-31,2022-03-31,2022-07-31,31.658,32.858,0.145,0.000,RSG
86228,2021-12-31,2022-06-30,2022-08-31,31.026,32.734,0.148,0.000,RSG
86228,2021-12-31,2022-06-30,2022-09-30,29.574,31.202,0.148,0.000,RSG
86228,2021-12-31,2022-06-30,2022-10-31,28.830,30.417,0.148,0.000,RSG
86228,2021-12-31,2022-09-30,2022-11-30,28.839,30.413,0.148,0.000,RSG
86228,2021-12-31,2022-09-30,2022-12-31,26.706,28.164,0.148,0.000,RSG
86228,2021-12-31,2022-09-30,2023-01-31,25.843,27.253,0.148,0.000,RSG
86228,2022-12-31,2022-12-31,2023-02-28,26.099,27.490,0.144,0.000,RSG
86228,2022-12-31,2022-12-31,2023-03-31,27.372,28.832,0.144,0.000,RSG
86228,2022-12-31,2022-12-31,2023-04-30,29.275,30.836,0.144,0.000,RSG
86228,2022-12-31,2023-03-31,2023-05-31,28.157,29.568,0.147,0.000,RSG
86228,2022-12-31,2023-03-31,2023-06-30,30.451,31.977,0.147,0.000,RSG
86228,2022-12-31,2023-03-31,2023-07-31,30.042,31.547,0.147,0.000,RSG
86228,2022-12-31,2023-06-30,2023-08-31,28.150,29.000,0.145,0.000,RSG
86228,2022-12-31,2023-06-30,2023-09-30,27.834,28.674,0.145,0.000,RSG
86228,2022-12-31,2023-06-30,2023-10-31,29.002,29.877,0.145,0.000,RSG
86228,2022-12-31,2023-09-30,2023-11-30,30.364,31.364,0.147,0.000,RSG
86228,2022-12-31,2023-09-30,2023-12-31,30.940,31.959,0.147,0.000,RSG
86228,2022-12-31,2023-09-30,2024-01-31,32.105,33.163,0.147,0.000,RSG
86228,2023-12-31,2023-12-31,2024-02-29,32.727,33.565,0.145,0.000,RSG
86228,2023-12-31,2023-12-31,2024-03-31,34.125,34.998,0.145,0.000,RSG
86228,2023-12-31,2023-12-31,2024-04-30,34.171,35.046,0.145,0.000,RSG
86228,2023-12-31,2024-03-31,2024-05-31,31.765,32.489,0.152,0.000,RSG
86228,2023-12-31,2024-03-31,2024-06-30,33.334,34.095,0.152,0.000,RSG
86228,2023-12-31,2024-03-31,2024-07-31,33.331,34.091,0.152,0.000,RSG
86228,2023-12-31,2024-06-30,2024-08-31,34.472,34.876,0.154,0.000,RSG
86228,2023-12-31,2024-06-30,2024-09-30,33.252,33.642,0.154,0.000,RSG
86228,2023-12-31,2024-06-30,2024-10-31,32.781,33.166,0.154,0.000,RSG
86228,2023-12-31,2024-09-30,2024-11-30,34.541,34.928,0.156,0.000,RSG
91103,2016-12-31,2017-09-30,2018-01-31,10.276,10.680,0.149,0.000,UAL
91103,2017-12-31,2017-12-31,2018-02-28,9.999,9.657,0.141,0.000,UAL
91103,2017-12-31,2017-12-31,2018-03-31,10.246,9.896,0.141,0.000,UAL
91103,2017-12-31,2017-12-31,2018-04-30,9.962,9.621,0.141,0.000,UAL
91103,2017-12-31,2018-03-31,2018-05-31,9.885,9.520,0.141,0.000,UAL
91103,2017-12-31,2018-03-31,2018-06-30,9.905,9.539,0.141,0.000,UAL
91103,2017-12-31,2018-03-31,2018-07-31,11.420,10.999,0.141,0.000,UAL
91103,2017-12-31,2018-06-30,2018-08-31,12.382,12.347,0.134,0.000,UAL
91103,2017-12-31,2018-06-30,2018-09-30,12.615,12.579,0.134,0.000,UAL
91103,2017-12-31,2018-06-30,2018-10-31,12.112,12.078,0.134,0.000,UAL
91103,2017-12-31,2018-09-30,2018-11-30,12.287,12.148,0.132,0.000,UAL
91103,2017-12-31,2018-09-30,2018-12-31,10.639,10.519,0.132,0.000,UAL
91103,2017-12-31,2018-09-30,2019-01-31,11.089,10.964,0.132,0.000,UAL
91103,2018-12-31,2018-12-31,2019-02-28,9.855,11.404,0.138,0.000,UAL
91103,2018-12-31,2018-12-31,2019-03-31,8.954,10.361,0.138,0.000,UAL
91103,2018-12-31,2018-12-31,2019-04-30,9.973,11.540,0.138,0.000,UAL
91103,2018-12-31,2019-03-31,2019-05-31,8.157,9.344,0.137,0.000,UAL
91103,2018-12-31,2019-03-31,2019-06-30,9.196,10.535,0.137,0.000,UAL
91103,2018-12-31,2019-03-31,2019-07-31,9.654,11.060,0.137,0.000,UAL
91103,2018-12-31,2019-06-30,2019-08-31,7.865,8.594,0.139,0.000,UAL
91103,2018-12-31,2019-06-30,2019-09-30,8.247,9.012,0.139,0.000,UAL
91103,2018-12-31,2019-06-30,2019-10-31,8.474,9.260,0.139,0.000,UAL
91103,2018-12-31,2019-09-30,2019-11-30,7.932,8.649,0.140,0.000,UAL
91103,2018-12-31,2019-09-30,2019-12-31,7.529,8.210,0.140,0.000,UAL
91103,2018-12-31,2019-09-30,2020-01-31,6.393,6.971,0.140,0.000,UAL
91103,2019-12-31,2019-12-31,2020-02-29,5.077,5.319,0.140,0.000,UAL
91103,2019-12-31,2019-12-31,2020-03-31,2.601,2.725,0.140,0.000,UAL
91103,2019-12-31,2019-12-31,2020-04-30,2.439,2.554,0.140,0.000,UAL
91103,2019-12-31,2020-03-31,2020-05-31,4.236,7.620,0.106,0.000,UAL
91103,2019-12-31,2020-03-31,2020-06-30,5.228,9.405,0.106,0.000,UAL
91103,2019-12-31,2020-03-31,2020-07-31,4.740,8.527,0.106,0.000,UAL
91103,2019-12-31,2020-06-30,2020-08-31,-5.172,-5.931,0.017,0.000,UAL
91103,2019-12-31,2020-06-30,2020-09-30,-4.993,-5.725,0.017,0.000,UAL
91103,2019-12-31,2020-06-30,2020-10-31,-4.865,-5.578,0.017,0.000,UAL
91103,2019-12-31,2020-09-30,2020-11-30,-2.341,-2.750,-0.061,0.000,UAL
91103,2019-12-31,2020-09-30,2020-12-31,-2.248,-2.640,-0.061,0.000,UAL
91103,2019-12-31,2020-09-30,2021-01-31,-2.078,-2.441,-0.061,0.000,UAL
91103,2020-12-31,2020-12-31,2021-02-28,-1.830,-2.082,-0.116,0.000,UAL
91103,2020-12-31,2020-12-31,2021-03-31,-1.999,-2.274,-0.116,0.000,UAL
91103,2020-12-31,2020-12-31,2021-04-30,-1.890,-2.150,-0.116,0.000,UAL
91103,2020-12-31,2021-03-31,2021-05-31,-1.810,-2.559,-0.150,0.000,UAL
91103,2020-12-31,2021-03-31,2021-06-30,-1.622,-2.293,-0.150,0.000,UAL
91103,2020-12-31,2021-03-31,2021-07-31,-1.449,-2.049,-0.150,0.000,UAL
91103,2020-12-31,2021-06-30,2021-08-31,-1.757,-2.539,-0.113,0.000,UAL
91103,2020-12-31,2021-06-30,2021-09-30,-1.797,-2.597,-0.113,0.000,UAL
91103,2020-12-31,2021-06-30,2021-10-31,-1.743,-2.519,-0.113,0.000,UAL
91103,2020-12-31,2021-09-30,2021-11-30,-2.162,-4.029,-0.064,0.000,UAL
91103,2020-12-31,2021-09-30,2021-12-31,-2.239,-4.173,-0.064,0.000,UAL
91103,2020-12-31,2021-09-30,2022-01-31,-2.193,-4.088,-0.064,0.000,UAL
91103,2021-12-31,2021-12-31,2022-02-28,-3.010,-7.279,-0.034,0.000,UAL
91103,2021-12-31,2021-12-31,2022-03-31,-3.143,-7.600,-0.034,0.000,UAL
