"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"beta2",0.834775,0.021258,39.269653,0,"Consumer Leverage",2626.99235009554
"m2",0.677681,0.126259,5.367396,0,"Consumer Leverage",10323.408703
"theta2",0.802073,0.163903,4.89357,0.000001,"Consumer Leverage",10360.134019
"w22",5.686567,0.133682,42.538161,0,"Consumer Leverage",-5155.70435138736
"alpha1",0.053322,0.015158,3.517749,0.000435,"Consumer NFCI",49.7132855800944
"gamma1",0.154585,0.034386,4.49561,0.000007,"Consumer NFCI",1.2323237598839
"beta1",0.839571,0.020536,40.882625,0,"Consumer NFCI",2629.10576719003
"m1",0.949814,0.225088,4.219751,0.000024,"Consumer NFCI",10330.861278
"theta1",0.797836,0.201966,3.950347,0.000078,"Consumer NFCI",10367.586594
"w21",5.109779,0.562614,9.08221,0,"Consumer NFCI",-5159.43063879986
