"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha53",0.008092,0.013537,0.597742,0.550012,"Healthcare CFNAI",0.765997430021643
"gamma53",0.17902,0.033037,5.418746,0,"Healthcare CFNAI",0.83801358199496
"beta53",0.850825,0.024064,35.356145,0,"Healthcare CFNAI",1017.71819424733
"m53",-0.00162,0.110031,-0.014725,0.988251,"Healthcare CFNAI",9007.968215
"theta53",-0.270419,0.447539,-0.604236,0.545687,"Healthcare CFNAI",9044.693531
"w253",1.865633,0.190714,9.782369,0,"Healthcare CFNAI",-4497.98410740956
"alpha52",0.005068,0.013548,0.374062,0.708358,"Healthcare BKKIndex",1.2645917237695
"gamma52",0.176857,0.033537,5.273493,0,"Healthcare BKKIndex",0.83684861250086
"beta52",0.85639,0.026906,31.829008,0,"Healthcare BKKIndex",1015.33389109831
"m52",-0.02307,0.107113,-0.215381,0.82947,"Healthcare BKKIndex",9004.875984
"theta52",-0.157328,0.075616,-2.080622,0.037468,"Healthcare BKKIndex",9041.6013
"w252",1.713439,0.101535,16.875318,0,"Healthcare BKKIndex",-4496.43799209818
"alpha51",0.000101,0.013834,0.007288,0.994185,"Healthcare UMich",3.10377784292013
"gamma51",0.196605,0.033858,5.80668,0,"Healthcare UMich",0.832089466080473
"beta51",0.83578,0.023495,35.572605,0,"Healthcare UMich",1018.89958227668
"m51",0.004744,0.104092,0.045579,0.963646,"Healthcare UMich",8988.23497
"theta51",-0.242661,0.079598,-3.048594,0.002299,"Healthcare UMich",9024.960286
"w251",1.544705,0.242569,6.368113,0,"Healthcare UMich",-4488.11748509255
"alpha50",0.012014,0.01414,0.849684,0.395501,"Healthcare Credit",0.214029563774471
"gamma50",0.165452,0.035636,4.642783,3e-06,"Healthcare Credit",0.839138698337544
"beta50",0.860366,0.028132,30.583103,0,"Healthcare Credit",1017.50214572315
"m50",0.030491,0.131761,0.231415,0.816992,"Healthcare Credit",9012.119957
"theta50",-0.280277,0.144949,-1.933626,0.053159,"Healthcare Credit",9048.845273
"w250",1.001001,0.198484,5.043236,0,"Healthcare Credit",-4500.05997830965
"alpha49",0.011466,0.014004,0.818754,0.412927,"Healthcare Risk",0.251200000080694
"gamma49",0.167701,0.034523,4.857606,1e-06,"Healthcare Risk",0.839085624959362
"beta49",0.8588,0.026601,32.283938,0,"Healthcare Risk",1016.99504497378
"m49",-0.081974,0.133268,-0.615107,0.538484,"Healthcare Risk",9011.870515
"theta49",-0.258477,0.184366,-1.401978,0.160922,"Healthcare Risk",9048.595831
"w249",1.001001,0.155134,6.452497,0,"Healthcare Risk",-4499.93525758582
"alpha48",0.010621,0.014015,0.757826,0.448555,"Healthcare Leverage",0.00558310495756679
"gamma48",0.168665,0.035372,4.768357,2e-06,"Healthcare Leverage",0.839579420209887
"beta48",0.859218,0.027048,31.766144,0,"Healthcare Leverage",1017.40410764671
