"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"m14",-0.31851,0.260922,-1.220712,0.222195,"Canada T10_3YC",7779.047278
"theta14",13.516986,1.47374,9.171894,0,"Canada T10_3YC",7816.085346
"w214",2.885757,0.473393,6.095902,0,"Canada T10_3YC",-3883.52363916056
"alpha13",0.002209,0.00959,0.230336,0.817831,"Canada T10_2YC",124.111909336642
"gamma13",0.18877,0.029532,6.391984,0,"Canada T10_2YC",0.352570780446414
"beta13",0.880399,0.021467,41.012631,0,"Canada T10_2YC",1861.78531550227
"m13",-0.328793,0.131886,-2.493014,0.012666,"Canada T10_2YC",7774.42419
"theta13",24.958071,0.144539,172.67334,0,"Canada T10_2YC",7811.462257
"w213",6.843042,0.137505,49.765807,0,"Canada T10_2YC",-3881.21209475553
"alpha12",0.001561,0.02417,0.06458,0.948508,"SP1500 EU_HY_OAS",59.4992391049418
