"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"beta26",0.860859,0.019106,45.056213,0,"NASDAQ100 Risk",2114.7343320133
"m26",0.891289,0.119874,7.435203,0,"NASDAQ100 Risk",10913.693065
"theta26",0.77047,0.086852,8.87106,0,"NASDAQ100 Risk",10950.731133
"w226",3.792924,0.159961,23.711618,0,"NASDAQ100 Risk",-5450.84653235562
"alpha25",1e-04,0.020437,0.004896,0.996094,"NASDAQ100 Leverage",2.99693496029533
"gamma25",0.213247,0.033825,6.304504,0,"NASDAQ100 Leverage",1.2364486913851
"beta25",0.850055,0.017372,48.931903,0,"NASDAQ100 Leverage",2105.35830674542
"m25",0.597362,0.118665,5.03403,0,"NASDAQ100 Leverage",10897.226736
"theta25",0.819868,0.125062,6.55569,0,"NASDAQ100 Leverage",10934.264804
"w225",3.94747,0.515757,7.653741,0,"NASDAQ100 Leverage",-5442.61336783564
"alpha24",1e-04,0.021842,0.004581,0.996345,"NASDAQ100 NFCI",2.54180261541969
"gamma24",0.220359,0.035692,6.173936,0,"NASDAQ100 NFCI",1.23697578462273
"beta24",0.84518,0.01686,50.128631,0,"NASDAQ100 NFCI",2110.28721334269
"m24",1.10482,0.070645,15.63897,0,"NASDAQ100 NFCI",10900.286972
"theta24",1.318217,0.12757,10.333287,0,"NASDAQ100 NFCI",10937.32504
"w224",4.799376,0.301503,15.918151,0,"NASDAQ100 NFCI",-5444.14348587182
"alpha23",1e-04,0.012524,0.007992,0.993623,"NASDAQ CESIGL",0.56963828661089
"gamma23",0.18328,0.04594,3.989582,6.6e-05,"NASDAQ CESIGL",1.1900902456104
"beta23",0.878787,0.030388,28.919061,0,"NASDAQ CESIGL",2102.82215975951
"m23",0.421477,0.141877,2.97072,0.002971,"NASDAQ CESIGL",10736.116979
"theta23",0.004028,0.003599,1.119211,0.26305,"NASDAQ CESIGL",10773.155047
"w223",63.097626,0.076959,819.889,0,"NASDAQ CESIGL",-5362.05848973516
"alpha22",1e-04,0.012524,0.007992,0.993623,"NASDAQ CESIGL",0.56963828661089
"gamma22",0.18328,0.04594,3.989582,6.6e-05,"NASDAQ CESIGL",1.1900902456104
"beta22",0.878787,0.030388,28.919061,0,"NASDAQ CESIGL",2102.82215975951
"m22",0.421477,0.141877,2.97072,0.002971,"NASDAQ CESIGL",10736.116979
"theta22",0.004028,0.003599,1.119211,0.26305,"NASDAQ CESIGL",10773.155047
