"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"m7",-1.821321,2.236898,-0.814217,0.415521,"NASDAQ100 VIX",10893.277632
"theta7",0.024835,0.022636,1.097134,0.272583,"NASDAQ100 VIX",10930.315699
"w27",2.550098,5.305157,0.480683,0.630742,"NASDAQ100 VIX",-5440.63881578435
"alpha6",0.000101,0.014922,0.006736,0.994625,"NASDAQ EqVol",0.499135059622772
"gamma6",0.185351,0.043601,4.25112,0.000021,"NASDAQ EqVol",1.19043190477306
"beta6",0.875818,0.028703,30.513307,0,"NASDAQ EqVol",2099.77844380706
"m6",0.538043,0.135607,3.967679,0.000073,"NASDAQ EqVol",10736.423279
"theta6",-0.262,0.136887,-1.913991,0.055621,"NASDAQ EqVol",10773.461347
"w26",14.671713,12.825509,1.143948,0.252645,"NASDAQ EqVol",-5362.21163942495
"alpha5",0.0001,0.014628,0.006837,0.994545,"NASDAQ VVIX",2.92482037286272
"gamma5",0.222985,0.035711,6.244219,0,"NASDAQ VVIX",1.18514024366986
"beta5",0.843006,0.019618,42.971079,0,"NASDAQ VVIX",2091.46481591248
"m5",-1.73114,1.178437,-1.469014,0.141829,"NASDAQ VVIX",10716.76119
"theta5",0.023021,0.01212,1.899391,0.057513,"NASDAQ VVIX",10753.799258
"w25",2.548463,2.902674,0.877971,0.37996,"NASDAQ VVIX",-5352.38059498503
"alpha4",0.0001,0.022791,0.004389,0.996498,"NASDAQ OilVol",3.91651984160439
"gamma4",0.234365,0.033154,7.069087,0,"NASDAQ OilVol",1.17716817827425
"beta4",0.83491,0.018285,45.660972,0,"NASDAQ OilVol",2090.72540149701
"m4",-0.620433,0.312505,-1.985352,0.047105,"NASDAQ OilVol",10688.844562
"theta4",0.028247,0.007369,3.83304,0.000127,"NASDAQ OilVol",10725.882629
"w24",3.542361,1.199701,2.952704,0.00315,"NASDAQ OilVol",-5338.42228080538
"alpha3",0.0001,0.021027,0.004757,0.996204,"NASDAQ MOVE",1.53991246469231
"gamma3",0.188294,0.045981,4.095042,0.000042,"NASDAQ MOVE",1.18809288247832
"beta3",0.868897,0.031959,27.18773,0,"NASDAQ MOVE",2096.32569517113
"m3",-0.236718,0.303911,-0.778906,0.436035,"NASDAQ MOVE",10728.730967
"theta3",0.007899,0.003119,2.532447,0.011327,"NASDAQ MOVE",10765.769035
"w23",1.179176,1.772223,0.665366,0.505817,"NASDAQ MOVE",-5358.36548372154
"alpha2",0.000101,0.014019,0.007188,0.994265,"NASDAQ Skew",0.571932283060036
"gamma2",0.183559,0.010435,17.590011,0,"NASDAQ Skew",1.19060841743425
"beta2",0.879115,0.014017,62.716344,0,"NASDAQ Skew",2106.3523688147
"m2",-0.94699,0.725431,-1.305416,0.191751,"NASDAQ Skew",10737.165254
"theta2",0.010783,0.005686,1.896319,0.057918,"NASDAQ Skew",10774.203322
"w22",112.843351,245.583112,0.459491,0.645881,"NASDAQ Skew",-5362.58262702644
"alpha1",0.0001,0.014588,0.006858,0.994528,"NASDAQ VIX",2.92472007368105
"gamma1",0.222985,0.034594,6.445801,0,"NASDAQ VIX",1.18514023970968
"beta1",0.843006,0.019137,44.050663,0,"NASDAQ VIX",2091.46420229732
"m1",-1.731074,0.725833,-2.384948,0.017082,"NASDAQ VIX",10716.761198
"theta1",0.023021,0.007617,3.022238,0.002509,"NASDAQ VIX",10753.799266
"w21",2.548867,0.927138,2.749177,0.005975,"NASDAQ VIX",-5352.38059905578
